term	name	URL
DIGITALIS_TOXICITY_WITH_TACHYCARDIA	digitalis toxicity with tachycardia	http://www.anvita.info/wiki/Digitalis_Toxicity_With_Tachycardia
WATER_INTOXICATION	water intoxication	http://www.anvita.info/wiki/Water_Intoxication
ARSENIC_POISONING_--_MILD	Arsenic Poisoning - Mild	http://www.anvita.info/wiki/Arsenic_Poisoning_--_Mild
ARSENIC_POISONING_--_SEVERE	Arsenic Poisoning - Severe	http://www.anvita.info/wiki/Arsenic_Poisoning_--_Severe
GOLD_POISONING_--_MILD	Gold Poisoning - Mild	http://www.anvita.info/wiki/Gold_Poisoning_--_Mild
GOLD_POISONING_--_SEVERE	Gold Poisoning - Severe	http://www.anvita.info/wiki/Gold_Poisoning_--_Severe
LEAD_POISONING_--_MILD	Lead Poisoning - Mild	http://www.anvita.info/wiki/Lead_Poisoning_--_Mild
LEAD_POISONING_--_SEVERE	Lead Poisoning - Severe	http://www.anvita.info/wiki/Lead_Poisoning_--_Severe
OCCUPATIONAL_DISEASE	occupational disease	http://www.anvita.info/wiki/Occupational_Disease
OCCUPATIONAL_EXPOSURE	occupational exposure	http://www.anvita.info/wiki/Occupational_Exposure
CONNECTIVE_TISSUE_DISEASE	connective tissue disease; soft tissue disease	http://www.anvita.info/wiki/Connective_Tissue_Disease
SOFT_TISSUE_INJURY	soft tissue injury	http://www.anvita.info/wiki/Soft_Tissue_Injury
FIBROSCLEROSIS	fibrosclerosis	http://www.anvita.info/wiki/Fibrosclerosis
FIBRILLINOPATHY	fibrillinopathy	http://www.anvita.info/wiki/Fibrillinopathy
RHEUMATOLOGIC_DISEASE	rheumatologic disease (autoinflammatory disease)	http://www.anvita.info/wiki/Rheumatologic_Disease
LUMBAR_ADHESIVE_ARACHNOIDITIS	lumbar adhesive arachnoiditis	http://www.anvita.info/wiki/Lumbar_Adhesive_Arachnoiditis
OVERLAP_SYNDROME	overlap syndrome	http://www.anvita.info/wiki/Overlap_Syndrome
MULTIFOCAL_FIBROSCLEROSIS	multifocal fibrosclerosis	http://www.anvita.info/wiki/Multifocal_Fibrosclerosis
PALINDROMIC_RHEUMATISM	palindromic rheumatism; Hench-Rosenberg syndrome; intermittent hydrarthrosis	http://www.anvita.info/wiki/Palindromic_Rheumatism
RHEUMATOLOGIC_DISORDERS_IN_THE_ELDERLY	rheumatologic disorders in the elderly	http://www.anvita.info/wiki/Rheumatologic_Disorders_In_The_Elderly
MIXED_CONNECTIVE_TISSUE_DISEASE	mixed connective tissue disease; Sharp's syndrome (MCTD)	http://www.anvita.info/wiki/Mixed_Connective_Tissue_Disease
GRANULOMATOUS_DISEASE	granulomatous disease	http://www.anvita.info/wiki/Granulomatous_Disease
BOTRYOMYCOSIS	botryomycosis	http://www.anvita.info/wiki/Botryomycosis
IMMUNOLOGIC_DISEASE	immunologic disease	http://www.anvita.info/wiki/Immunologic_Disease
HYPOCOMPLEMENTEMIA	hypocomplementemia	http://www.anvita.info/wiki/Hypocomplementemia
GRANULOMATOSIS	granulomatosis	http://www.anvita.info/wiki/Granulomatosis
ENDOCRINE_DISEASE	endocrine disease	http://www.anvita.info/wiki/Endocrine_Disease
INFANT_OF_MOTHER_WITH_THYROID_DISEASE	infant of mother with thyroid disease	http://www.anvita.info/wiki/Infant_Of_Mother_With_Thyroid_Disease
INFANT_OF_MOTHER_WITH_IMPAIRED_GLUCOSE_TOLERANCE	infant of mother with impaired glucose tolerance	http://www.anvita.info/wiki/Infant_Of_Mother_With_Impaired_Glucose_Tolerance
INFANT_OF_DIABETIC_MOTHER	infant of diabetic mother	http://www.anvita.info/wiki/Infant_Of_Diabetic_Mother
ESTROGEN_EXCESS	estrogen excess; hyperestrogenism	http://www.anvita.info/wiki/Estrogen_Excess
HORMONAL_IMBALANCE	hormonal imbalance	http://www.anvita.info/wiki/Hormonal_Imbalance
HORMONE_DEFICIENCY	hormone deficiency	http://www.anvita.info/wiki/Hormone_Deficiency
EARLY_ONSET_HYPERTENSION_WITH_SEVERE_EXACERBATION_IN_PREGNANCY	early onset hypertension with severe exacerbation in pregnancy	http://www.anvita.info/wiki/Early_Onset_Hypertension_With_Severe_Exacerbation_In_Pregnancy
ADRENOCORTICAL_HYPERPLASIA	adrenocortical hyperplasia	http://www.anvita.info/wiki/Adrenocortical_Hyperplasia
GLUCOCORTICOID_DEFICIENCY	glucocorticoid deficiency	http://www.anvita.info/wiki/Glucocorticoid_Deficiency
ANDROGEN_INSUFFICIENCY	androgen insufficiency (hypoandrogenism, testosterone deficiency)	http://www.anvita.info/wiki/Androgen_Insufficiency
PRECOCIOUS_PUBERTY	precocious puberty	http://www.anvita.info/wiki/Precocious_Puberty
PREDIABETES	prediabetes	http://www.anvita.info/wiki/Prediabetes
IGF1_INSUFFICIENCY	IGF1 insufficiency	http://www.anvita.info/wiki/Igf1_Insufficiency
PROGESTERONE_INSUFFICIENCY	progesterone insufficiency	http://www.anvita.info/wiki/Progesterone_Insufficiency
ESTROGEN_DEFICIENCY	estrogen deficiency	http://www.anvita.info/wiki/Estrogen_Deficiency
METABOLIC_DISEASE	metabolic disease	http://www.anvita.info/wiki/Metabolic_Disease
ADIPOSE_TISSUE_DISORDER	adipose tissue disorder	http://www.anvita.info/wiki/Adipose_Tissue_Disorder
OTHER_METABOLIC_AND_IMMUNITY_DISORDERS	Other Metabolic and Immunity Disorders	http://www.anvita.info/wiki/Other_Metabolic_And_Immunity_Disorders
METABOLIC_DISORDER_-_CONGENITAL	Metabolic Disorder - Congenital	http://www.anvita.info/wiki/Metabolic_Disorder_-_Congenital
COPPER_DEFICIENCY	copper deficiency	http://www.anvita.info/wiki/Copper_Deficiency
INTESTINAL_HYPEROXALURIA	intestinal (enteric) hyperoxaluria	http://www.anvita.info/wiki/Intestinal_Hyperoxaluria
ACID_BASE_DISORDER	acid-base disorder	http://www.anvita.info/wiki/Acid_Base_Disorder
HEAT_INJURY	heat injury	http://www.anvita.info/wiki/Heat_Injury
SUBSTANCE_WITHDRAWAL	substance withdrawal	http://www.anvita.info/wiki/Substance_Withdrawal
DRUG_DEPENDENCE	drug dependence	http://www.anvita.info/wiki/Drug_Dependence
DISORDER_OF_TEMPERATURE_REGULATION	disorder of temperature regulation	http://www.anvita.info/wiki/Disorder_Of_Temperature_Regulation
CALCINOSIS	calcinosis	http://www.anvita.info/wiki/Calcinosis
MIXED_ACID_BASE_DISORDER	mixed acid-base disorder	http://www.anvita.info/wiki/Mixed_Acid_Base_Disorder
HEAT_EXHAUSTION	heat exhaustion	http://www.anvita.info/wiki/Heat_Exhaustion
EXERTIONAL_HEAT_INJURY	exertional heat injury	http://www.anvita.info/wiki/Exertional_Heat_Injury
HEAT_STROKE	heat stroke	http://www.anvita.info/wiki/Heat_Stroke
OPIATE_WITHDRAWAL	opiate withdrawal	http://www.anvita.info/wiki/Opiate_Withdrawal
BENZODIAZEPINE_WITHDRAWAL	benzodiazepine withdrawal	http://www.anvita.info/wiki/Benzodiazepine_Withdrawal
OPIOID_DEPENDENCE	opioid dependence	http://www.anvita.info/wiki/Opioid_Dependence
HEAT_INTOLERANCE	heat intolerance	http://www.anvita.info/wiki/Heat_Intolerance
DIAPHRAGMATIC_CALCIFICATION	diaphragmatic calcification	http://www.anvita.info/wiki/Diaphragmatic_Calcification
EGGSHELL_CALCIFICATION	eggshell calcification	http://www.anvita.info/wiki/Eggshell_Calcification
GENETIC_DISEASE	genetic disease	http://www.anvita.info/wiki/Genetic_Disease
ABLEPHARON_MACROSTOMIA_SYNDROME	ablepharon-macrostomia syndrome	http://www.anvita.info/wiki/Ablepharon_Macrostomia_Syndrome
NEONATAL_DISEASE	neonatal disorder or disease	http://www.anvita.info/wiki/Neonatal_Disease
MELANOCYTIC_DISORDER	melanocytic disorder	http://www.anvita.info/wiki/Melanocytic_Disorder
MUCOSAL_DISEASE	mucosal disease	http://www.anvita.info/wiki/Mucosal_Disease
MUCOSAL_LESION	mucosal lesion	http://www.anvita.info/wiki/Mucosal_Lesion
MUCOSAL_EROSION	mucosal erosion	http://www.anvita.info/wiki/Mucosal_Erosion
SKIN_DISEASE	skin disease (dermatologic disorder, dermatopathy, dermatosis)	http://www.anvita.info/wiki/Skin_Disease
CALCINOSIS_CUTIS	calcinosis cutis	http://www.anvita.info/wiki/Calcinosis_Cutis
SKIN_FAILURE	skin failure	http://www.anvita.info/wiki/Skin_Failure
THICKENING_OF_SKIN	thickening of skin	http://www.anvita.info/wiki/Thickening_Of_Skin
ACROPUSTULOSIS_OF_INFANCY	acropustulosis of Infancy	http://www.anvita.info/wiki/Acropustulosis_Of_Infancy
EXCESS_SKIN	excess skin	http://www.anvita.info/wiki/Excess_Skin
SKIN_CONTRACTURE	skin contracture	http://www.anvita.info/wiki/Skin_Contracture
LICHEN_STRIATUS	lichen striatus	http://www.anvita.info/wiki/Lichen_Striatus
SKIN_FOREIGN_BODY	skin foreign body	http://www.anvita.info/wiki/Skin_Foreign_Body
POROKERATOSIS	porokeratosis	http://www.anvita.info/wiki/Porokeratosis
ACNEIFORM_ERUPTION	acneiform eruption	http://www.anvita.info/wiki/Acneiform_Eruption
SCLEREDEMA	scleredema (Buschke disease)	http://www.anvita.info/wiki/Scleredema
ATROPHODERMA_OF_PASINI_&_PIERINI	atrophoderma of Pasini & Pierini	http://www.anvita.info/wiki/Atrophoderma_Of_Pasini_&_Pierini
ANETODERMA	anetoderma; dermatitis atrophicans maculosa	http://www.anvita.info/wiki/Anetoderma
TRANSEPIDERMAL_ELIMINATION_DISORDER	transepidermal elimination disorder	http://www.anvita.info/wiki/Transepidermal_Elimination_Disorder
MUCINOSIS	mucinosis	http://www.anvita.info/wiki/Mucinosis
SUBCORNEAL_PUSTULAR_DERMATOSIS	subcorneal pustular dermatosis (Sneddon-Wilkinson disease)	http://www.anvita.info/wiki/Subcorneal_Pustular_Dermatosis
HYDROA_VACCINIFORME	hydroa vacciniforme	http://www.anvita.info/wiki/Hydroa_Vacciniforme
DYSCHROMIA	dyschromia	http://www.anvita.info/wiki/Dyschromia
REACTIVE_PERFORATING_COLLAGENOSIS	reactive perforating collagenosis	http://www.anvita.info/wiki/Reactive_Perforating_Collagenosis
ERYTHROKERATODERMIA	erythrokeratodermia	http://www.anvita.info/wiki/Erythrokeratodermia
BUSCHKE_SCLEREDEMA	Buschke scleredema	http://www.anvita.info/wiki/Buschke_Scleredema
UNEXPLAINED_DERMOPATHY	unexplained dermopathy (Morgellons)	http://www.anvita.info/wiki/Unexplained_Dermopathy
LICHEN_AUREUS	lichen aureus	http://www.anvita.info/wiki/Lichen_Aureus
BULLOUS_DIABETICORUM	bullous diabeticorum	http://www.anvita.info/wiki/Bullous_Diabeticorum
KERATINOPATHY	keratinopathy	http://www.anvita.info/wiki/Keratinopathy
ACTINIC_KERATOSIS	actinic (solar) keratosis (AK)	http://www.anvita.info/wiki/Actinic_Keratosis
AIDS_ASSOCIATED_DERMATOLOGIC_DISORDER	AIDS-associated dermatologic disorder	http://www.anvita.info/wiki/Aids_Associated_Dermatologic_Disorder
HIV_ASSOCIATED_CUTANEOUS_DISEASE	HIV-associated cutaneous disease	http://www.anvita.info/wiki/Hiv_Associated_Cutaneous_Disease
SKIN_CALLUS	skin callus	http://www.anvita.info/wiki/Skin_Callus
KYRLE^S_DISEASE	Kyrle's disease (hyperkeratosis follicularis et parafollicularis in cutem penetrans)	http://www.anvita.info/wiki/Kyrle^s_Disease
PSEUDO_PORPHYRIA_CUTANEA_TARDA	pseudo-porphyria cutanea tarda (PCT)	http://www.anvita.info/wiki/Pseudo_Porphyria_Cutanea_Tarda
POLYMORPHOUS_LIGHT_ERUPTION	polymorphous light eruption (PMLE)	http://www.anvita.info/wiki/Polymorphous_Light_Eruption
ECTHYMA	ecthyma	http://www.anvita.info/wiki/Ecthyma
DERMATOHELIOSIS	dermatoheliosis (photoaging, skin aging)	http://www.anvita.info/wiki/Dermatoheliosis
LENTIGINOSIS	lentiginosis	http://www.anvita.info/wiki/Lentiginosis
MELASMA	melasma (chloasma, mask of pregnancy)	http://www.anvita.info/wiki/Melasma
SEBORRHEA	seborrhea	http://www.anvita.info/wiki/Seborrhea
PHYMA	phyma	http://www.anvita.info/wiki/Phyma
BURN	burn	http://www.anvita.info/wiki/Burn
FOX_FORDYCE_DISEASE	Fox-Fordyce disease	http://www.anvita.info/wiki/Fox_Fordyce_Disease
ERYTHEMA_AB_IGNE	erythema ab igne	http://www.anvita.info/wiki/Erythema_Ab_Igne
PITYRIASIS	pityriasis	http://www.anvita.info/wiki/Pityriasis
MILIARIA	miliaria (heat rash)	http://www.anvita.info/wiki/Miliaria
SKIN_LESION	skin lesion	http://www.anvita.info/wiki/Skin_Lesion
PHOTOTOXICITY	phototoxicity	http://www.anvita.info/wiki/Phototoxicity
GRANULOMATOUS_DISEASE_OF_SKIN_&_SUBCUTANEOUS_TISSUE	granulomatous disease of skin & subcutaneous tissue	http://www.anvita.info/wiki/Granulomatous_Disease_Of_Skin_&_Subcutaneous_Tissue
WRINKLE	wrinkle	http://www.anvita.info/wiki/Wrinkle
DIABETIC_SCLEREDEMA	diabetic scleredema	http://www.anvita.info/wiki/Diabetic_Scleredema
SKIN_CORN	skin corn (clavus)	http://www.anvita.info/wiki/Skin_Corn
CUTIS_RHOMBOIDALIS_NUCHAE	Cutis rhomboidalis nuchae	http://www.anvita.info/wiki/Cutis_Rhomboidalis_Nuchae
RHINOPHYMA	rhinophyma	http://www.anvita.info/wiki/Rhinophyma
THERMAL_BURN	thermal burn	http://www.anvita.info/wiki/Thermal_Burn
CHEMICAL_BURN	chemical burn; corrosion	http://www.anvita.info/wiki/Chemical_Burn
BURNS_NITROGEN_RETENTION	Burns, Nitrogen Retention	http://www.anvita.info/wiki/Burns_Nitrogen_Retention
BURNS_-_EXTERNAL	Burns - External	http://www.anvita.info/wiki/Burns_-_External
SUNBURN	sunburn	http://www.anvita.info/wiki/Sunburn
THIRD_DEGREE_BURN	third degree burn	http://www.anvita.info/wiki/Third_Degree_Burn
SECOND_DEGREE_BURN	second degree burn	http://www.anvita.info/wiki/Second_Degree_Burn
FIRST_DEGREE_BURN	first degree burn	http://www.anvita.info/wiki/First_Degree_Burn
PITYRIASIS_RUBRA_PILARIS	pityriasis rubra pilaris	http://www.anvita.info/wiki/Pityriasis_Rubra_Pilaris
PITYRIASIS_ALBA	pityriasis alba	http://www.anvita.info/wiki/Pityriasis_Alba
MILIARIA_PUSTULOSA	miliaria pustolosa	http://www.anvita.info/wiki/Miliaria_Pustulosa
MILIARIA_CRYSTALLINA	miliaria crystallina	http://www.anvita.info/wiki/Miliaria_Crystallina
MILIARIA_RUBRA	miliaria rubra (prickly heat)	http://www.anvita.info/wiki/Miliaria_Rubra
MILIARIA_PROFUNDA	miliaria profunda	http://www.anvita.info/wiki/Miliaria_Profunda
DERMATOSIS_PAPULOSA_NIGRA	dermatosis papulosa nigra	http://www.anvita.info/wiki/Dermatosis_Papulosa_Nigra
DIMPLE	dimple	http://www.anvita.info/wiki/Dimple
TARGET_LESION	target lesion	http://www.anvita.info/wiki/Target_Lesion
CHAFING	chafing	http://www.anvita.info/wiki/Chafing
RING_LESION	ring lesion	http://www.anvita.info/wiki/Ring_Lesion
DIFFERENTIAL_DIAGNOSIS_OF_SKIN_LESIONS_BY_BODY_REGION	differential diagnosis of skin lesions by body region	http://www.anvita.info/wiki/Differential_Diagnosis_Of_Skin_Lesions_By_Body_Region
VESICULAR_LESION	vesicular lesion	http://www.anvita.info/wiki/Vesicular_Lesion
BULLA	bulla; blister; bleb	http://www.anvita.info/wiki/Bulla
EROSION	erosion	http://www.anvita.info/wiki/Erosion
EXCORIATION	excoriation	http://www.anvita.info/wiki/Excoriation
PLAQUE	plaque	http://www.anvita.info/wiki/Plaque
PAPULE	papule	http://www.anvita.info/wiki/Papule
MACULE	macule	http://www.anvita.info/wiki/Macule
PUSTULE	pustule	http://www.anvita.info/wiki/Pustule
WHEAL	wheal; welt	http://www.anvita.info/wiki/Wheal
SKIN_NODULE	skin nodule	http://www.anvita.info/wiki/Skin_Nodule
ABRASION	abrasion	http://www.anvita.info/wiki/Abrasion
VERRUCA	verruca	http://www.anvita.info/wiki/Verruca
LICHENIFICATION	lichenification	http://www.anvita.info/wiki/Lichenification
PREMALIGNANT_SKIN_LESION	premalignant skin lesion	http://www.anvita.info/wiki/Premalignant_Skin_Lesion
FOREIGN_BODY_GRANULOMA_OF_SKIN	foreign body granuloma of skin	http://www.anvita.info/wiki/Foreign_Body_Granuloma_Of_Skin
NECROBIOSIS_LIPOIDICA	necrobiosis lipoidica	http://www.anvita.info/wiki/Necrobiosis_Lipoidica
GRANULOMA_FACIALE	granuloma faciale; eosinophilic granuloma of skin	http://www.anvita.info/wiki/Granuloma_Faciale
LATERAL_CANTHAL_LINE	lateral canthal line (crow's feet)	http://www.anvita.info/wiki/Lateral_Canthal_Line
SACRAL_DIMPLE	sacral dimple; pilonidal dimple	http://www.anvita.info/wiki/Sacral_Dimple
SCALP_LESIONS_SKIN	scalp lesions, skin	http://www.anvita.info/wiki/Scalp_Lesions_Skin
FACE_LESIONS_SKIN	face lesions, skin	http://www.anvita.info/wiki/Face_Lesions_Skin
EYELID_LESIONS_SKIN	eyelid lesions, skin	http://www.anvita.info/wiki/Eyelid_Lesions_Skin
EAR_LESIONS_SKIN	ear lesions, skin	http://www.anvita.info/wiki/Ear_Lesions_Skin
MOUTH_LESIONS_MUCOSA	mouth lesions, mucosa (oral lesion)	http://www.anvita.info/wiki/Mouth_Lesions_Mucosa
TRUNK_LESIONS_SKIN	trunk lesions, skin	http://www.anvita.info/wiki/Trunk_Lesions_Skin
AXILLA_LESIONS_SKIN	axilla lesions, skin	http://www.anvita.info/wiki/Axilla_Lesions_Skin
BREAST_LESIONS_SKIN	breast lesions, skin (female)	http://www.anvita.info/wiki/Breast_Lesions_Skin
INGUINAL_LESIONS_SKIN	inguinal lesions, skin	http://www.anvita.info/wiki/Inguinal_Lesions_Skin
PUBIC_LESIONS_SKIN	pubic lesions, skin	http://www.anvita.info/wiki/Pubic_Lesions_Skin
GENITALIA_LESIONS_SKIN	genitalia lesions, skin	http://www.anvita.info/wiki/Genitalia_Lesions_Skin
BUTTOCK_LESIONS_SKIN	buttock lesions, skin	http://www.anvita.info/wiki/Buttock_Lesions_Skin
PERIANAL_LESIONS_SKIN	perianal lesions, skin	http://www.anvita.info/wiki/Perianal_Lesions_Skin
ARM&FOREARM_LESIONS_SKIN	arm & forearm lesions, skin	http://www.anvita.info/wiki/Arm&forearm_Lesions_Skin
HAND_LESIONS_SKIN	hand lesions, skin	http://www.anvita.info/wiki/Hand_Lesions_Skin
FEET_LESIONS_SKIN	feet lesions, skin	http://www.anvita.info/wiki/Feet_Lesions_Skin
LEG_LESIONS_SKIN	leg lesions, skin	http://www.anvita.info/wiki/Leg_Lesions_Skin
FRICTION_BLISTER	friction blister	http://www.anvita.info/wiki/Friction_Blister
MACULA_CERULEA	macula cerulea	http://www.anvita.info/wiki/Macula_Cerulea
LICHEN_NITIDUS	lichen nitidus	http://www.anvita.info/wiki/Lichen_Nitidus
NECROBIOSIS_LIPOIDICA_DIABETICORUM	necrobiosis lipoidica diabeticorum [NLD]	http://www.anvita.info/wiki/Necrobiosis_Lipoidica_Diabeticorum
ORAL&OCULAR_LESIONS	oral & ocular lesions	http://www.anvita.info/wiki/Oral&ocular_Lesions
ORAL&CUTANEOUS_LESIONS	oral & cutaneous lesions	http://www.anvita.info/wiki/Oral&cutaneous_Lesions
WHITE_LESION_OF_ORAL_MUCOSA	white lesions of the oral mucosa	http://www.anvita.info/wiki/White_Lesion_Of_Oral_Mucosa
PIGMENTED_LESION_OF_ORAL_MUCOSA	pigmented lesions of the oral mucosa	http://www.anvita.info/wiki/Pigmented_Lesion_Of_Oral_Mucosa
VESICULAR_BULLOUS_ULCERATIVE_LESIONS_OF_ORAL_MUCOSA	vesicular, bullous or ulcerative lesions of the oral mucosa	http://www.anvita.info/wiki/Vesicular_Bullous_Ulcerative_Lesions_Of_Oral_Mucosa
MEDIASTINAL_DISEASE	mediastinal disease (diseases of the mediastinum)	http://www.anvita.info/wiki/Mediastinal_Disease
MEDIASTINAL_LIPOMATOSIS	mediastinal lipomatosis	http://www.anvita.info/wiki/Mediastinal_Lipomatosis
MEDIASTINAL_WIDENING	mediastinal widening	http://www.anvita.info/wiki/Mediastinal_Widening
CIRCULATORY_SYSTEM_DISEASE	circulatory system disease	http://www.anvita.info/wiki/Circulatory_System_Disease
EYE_DISEASE	eye disease (ophthalmopathy)	http://www.anvita.info/wiki/Eye_Disease
LACRIMAL_LAKE	lacrimal lake; tear lake	http://www.anvita.info/wiki/Lacrimal_Lake
ASTEROID_HYALOSIS	asteroid hyalosis	http://www.anvita.info/wiki/Asteroid_Hyalosis
SHALLOW_ANTERIOR_CHAMBER_OF_EYE	shallow anterior chamber of eye	http://www.anvita.info/wiki/Shallow_Anterior_Chamber_Of_Eye
SCLERAL_ECTASIA	scleral ectasia	http://www.anvita.info/wiki/Scleral_Ectasia
PHTHISIS_BULBI	phthisis bulbi	http://www.anvita.info/wiki/Phthisis_Bulbi
OPTIC_ATROPHY	optic atrophy	http://www.anvita.info/wiki/Optic_Atrophy
EYE_INJURY	eye injury/trauma	http://www.anvita.info/wiki/Eye_Injury
COLOBOMA	coloboma (ocular coloboma, uveoretinal coloboma, coloboma of iris, choroid & retina)	http://www.anvita.info/wiki/Coloboma
COTTON_WOOL_SPOT	cotton-wool spot (CWS)	http://www.anvita.info/wiki/Cotton_Wool_Spot
EYE_FOREIGN_BODY	eye foreign body	http://www.anvita.info/wiki/Eye_Foreign_Body
