eref	gender	d0	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10	d11	allages
ACNE	M	7.5E-6	2.576E-4	1.119E-4	3.78E-5	2.81E-5	1.53E-5	1.6E-5	1.0E-5	5.0E-6	7.0E-7	0.0	0.0	4.898E-4
ACNE	F	8.5E-6	2.636E-4	3.025E-4	2.12E-4	1.204E-4	6.41E-5	2.78E-5	1.25E-5	6.4E-6	1.4E-6	0.0	0.0	0.0010192
ACOUSTIC_NEUROMA	M	0.0	0.0	0.0	0.0	1.4E-6	1.1E-6	2.5E-6	2.8E-6	4.0E-7	4.0E-7	0.0	0.0	8.5E-6
ACOUSTIC_NEUROMA	F	0.0	0.0	4.0E-7	2.1E-6	1.1E-6	1.4E-6	3.9E-6	3.6E-6	1.8E-6	0.0	0.0	0.0	1.42E-5
ACROCEPHALOSYNDACTYLY	M	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
ACROCHORDON	M	4.0E-7	4.0E-7	4.0E-7	2.5E-6	3.2E-6	5.7E-6	6.8E-6	3.2E-6	2.1E-6	0.0	0.0	0.0	2.46E-5
ACROCHORDON	F	4.0E-7	1.1E-6	1.4E-6	3.2E-6	7.5E-6	7.8E-6	7.5E-6	9.3E-6	2.5E-6	0.0	0.0	0.0	4.06E-5
ACROMEGALY	M	0.0	0.0	0.0	4.0E-7	7.0E-7	4.0E-7	0.0	7.0E-7	0.0	0.0	0.0	0.0	2.1E-6
ACROMEGALY	F	0.0	4.0E-7	0.0	4.0E-7	1.1E-6	1.1E-6	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	3.9E-6
ACROMION	M	0.0	4.0E-7	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	4.0E-7	0.0	1.1E-6
ACROMION	F	0.0	7.0E-7	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	4.0E-7	0.0	0.0	1.4E-6
ACTINIC_KERATOSIS	M	0.0	1.1E-6	3.6E-6	1.82E-5	7.34E-5	1.909E-4	4.075E-4	5.194E-4	2.814E-4	4.1E-5	0.0	0.0	0.0015365
ACTINIC_KERATOSIS	F	0.0	1.1E-6	4.3E-6	2.39E-5	9.12E-5	1.984E-4	3.431E-4	3.79E-4	2.341E-4	4.24E-5	2.1E-6	0.0	0.0013195
ACTINOMYCOSIS	M	4.0E-7	4.0E-7	0.0	4.0E-7	0.0	0.0	7.0E-7	7.0E-7	0.0	0.0	0.0	0.0	2.1E-6
ACTINOMYCOSIS	F	0.0	4.0E-7	4.0E-7	0.0	4.0E-7	4.0E-7	0.0	7.0E-7	0.0	4.0E-7	0.0	0.0	1.8E-6
ACTIVITY	M	1.1E-6	1.46E-5	2.8E-6	1.1E-6	1.4E-6	7.0E-7	2.1E-6	1.4E-6	4.0E-7	4.0E-7	0.0	0.0	1.85E-5
ACTIVITY	F	1.1E-6	5.3E-6	7.0E-7	1.4E-6	1.1E-6	1.1E-6	1.8E-6	7.0E-7	7.0E-7	4.0E-7	0.0	0.0	7.8E-6
ACUTE_ANGLE_CLOSURE_GLAUCOMA	M	0.0	0.0	0.0	0.0	4.0E-7	7.0E-7	2.1E-6	6.4E-6	3.6E-6	7.0E-7	4.0E-7	0.0	1.25E-5
ACUTE_ANGLE_CLOSURE_GLAUCOMA	F	0.0	0.0	4.0E-7	0.0	1.4E-6	1.1E-6	7.8E-6	8.9E-6	5.3E-6	7.0E-7	0.0	0.0	2.49E-5
ACUTE_CHOLECYSTITIS	M	0.0	0.0	4.0E-7	2.5E-6	6.1E-6	1.07E-5	1.28E-5	1.32E-5	9.6E-6	1.1E-6	0.0	0.0	5.38E-5
ACUTE_CHOLECYSTITIS	F	0.0	1.8E-6	7.1E-6	1.03E-5	1.18E-5	1.57E-5	1.82E-5	2.14E-5	1.42E-5	3.2E-6	0.0	0.0	1.03E-4
ACUTE_DISSEMINATED_ENCEPHALOMYELITIS	M	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
ACUTE_DISSEMINATED_ENCEPHALOMYELITIS	F	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
ACUTE_ERYTHROBLASTIC_LEUKEMIA	M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	4.0E-7
ACUTE_ERYTHROBLASTIC_LEUKEMIA	F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	4.0E-7
ACUTE_LEUKEMIA	F	0.0	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	7.0E-7
ACUTE_LEUKOCYTOCLASTIC_VASCULITIS	M	7.0E-7	7.0E-7	0.0	0.0	0.0	0.0	4.0E-7	1.1E-6	1.1E-6	0.0	0.0	0.0	3.9E-6
ACUTE_LEUKOCYTOCLASTIC_VASCULITIS	F	1.8E-6	4.0E-7	1.4E-6	1.1E-6	1.1E-6	7.0E-7	1.4E-6	1.4E-6	7.0E-7	0.0	0.0	0.0	1.0E-5
ACUTE_MONOCYTIC_LEUKEMIA	M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	4.0E-7
ACUTE_MYELOID_LEUKEMIA	F	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	7.0E-7
ACUTE_MYOCARDIAL_INFARCTION	M	0.0	4.0E-7	0.0	1.4E-6	5.7E-6	2.03E-5	3.53E-5	4.6E-5	2.96E-5	7.8E-6	0.0	0.0	1.464E-4
ACUTE_MYOCARDIAL_INFARCTION	F	0.0	0.0	7.0E-7	7.0E-7	5.0E-6	1.0E-5	3.03E-5	3.24E-5	3.06E-5	8.5E-6	4.0E-7	0.0	1.179E-4
ACUTE_NECROTIZING_ULCERATIVE_GINGIVITIS	M	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	7.0E-7
ACUTE_NECROTIZING_ULCERATIVE_GINGIVITIS	F	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	7.0E-7	4.0E-7	0.0	0.0	1.8E-6
ACUTE_OTITIS_EXTERNA	M	9.3E-6	1.14E-5	3.2E-6	3.9E-6	5.0E-6	8.9E-6	1.1E-5	1.28E-5	6.4E-6	0.0	0.0	0.0	7.2E-5
ACUTE_OTITIS_EXTERNA	F	6.1E-6	9.6E-6	5.3E-6	6.8E-6	9.6E-6	1.25E-5	1.53E-5	1.07E-5	9.3E-6	1.4E-6	0.0	0.0	8.66E-5
ACUTE_PAIN	M	2.1E-6	5.3E-6	4.6E-6	5.7E-6	1.28E-5	1.5E-5	1.46E-5	1.53E-5	5.3E-6	4.0E-7	0.0	0.0	7.8E-5
ACUTE_PAIN	F	1.4E-6	5.7E-6	1.21E-5	1.28E-5	2.07E-5	2.53E-5	3.06E-5	2.49E-5	1.35E-5	4.3E-6	0.0	0.0	1.514E-4
ACUTE_PANCREATITIS	M	0.0	7.0E-7	2.8E-6	3.9E-6	1.64E-5	1.78E-5	2.35E-5	2.92E-5	1.28E-5	2.8E-6	0.0	0.0	1.101E-4
ACUTE_PANCREATITIS	F	4.0E-7	1.4E-6	6.1E-6	7.5E-6	1.28E-5	1.89E-5	2.89E-5	2.71E-5	2.03E-5	3.6E-6	4.0E-7	0.0	1.272E-4
ACUTE_RENAL_FAILURE_IN_PREGNANCY	F	0.0	4.0E-7	4.6E-6	7.5E-6	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28E-5
ACUTE_RESPIRATORY_FAILURE	M	4.3E-6	1.1E-6	3.2E-6	5.0E-6	1.35E-5	3.28E-5	8.09E-5	1.083E-4	7.12E-5	1.71E-5	0.0	0.0	3.374E-4
ACUTE_RESPIRATORY_FAILURE	F	2.1E-6	7.0E-7	3.6E-6	6.1E-6	1.14E-5	3.42E-5	7.48E-5	8.98E-5	7.52E-5	2.32E-5	7.0E-7	0.0	3.217E-4
ACUTE_SICKLE_CELL_CHEST_SYNDROME	M	0.0	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	1.1E-6	0.0	0.0	0.0	0.0	1.8E-6
ACUTE_SICKLE_CELL_CHEST_SYNDROME	F	0.0	0.0	4.0E-7	0.0	7.0E-7	4.0E-7	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	2.1E-6
ACUTE_TUBULAR_NECROSIS	M	4.0E-7	4.0E-7	4.0E-7	1.8E-6	2.1E-6	5.3E-6	1.28E-5	2.14E-5	1.75E-5	2.1E-6	0.0	0.0	6.41E-5
ACUTE_TUBULAR_NECROSIS	F	0.0	0.0	1.1E-6	0.0	7.0E-7	6.4E-6	1.6E-5	1.85E-5	1.39E-5	5.3E-6	0.0	0.0	6.2E-5
ADDICTION	M	0.0	2.8E-6	6.1E-6	4.3E-6	1.0E-5	9.6E-6	7.8E-6	7.5E-6	4.6E-6	7.0E-7	0.0	0.0	4.45E-5
ADDICTION	F	0.0	1.1E-6	2.5E-6	4.3E-6	7.1E-6	1.35E-5	6.8E-6	1.35E-5	1.32E-5	1.4E-6	0.0	0.0	4.88E-5
ADENOVIRUS	M	1.8E-6	1.1E-6	7.0E-7	4.0E-7	1.1E-6	7.0E-7	4.0E-7	0.0	0.0	0.0	0.0	0.0	5.7E-6
ADENOVIRUS	F	2.5E-6	7.0E-7	4.0E-7	7.0E-7	0.0	7.0E-7	1.4E-6	7.0E-7	0.0	0.0	0.0	0.0	7.1E-6
ADHESIVE_CAPSULITIS	M	0.0	1.8E-6	1.4E-6	6.8E-6	9.6E-6	1.92E-5	3.21E-5	1.99E-5	4.6E-6	1.1E-6	0.0	0.0	9.65E-5
ADHESIVE_CAPSULITIS	F	0.0	4.0E-7	2.5E-6	5.3E-6	1.89E-5	4.06E-5	5.34E-5	3.53E-5	1.46E-5	2.1E-6	0.0	0.0	1.731E-4
ADJUSTMENT_DISORDER	M	7.8E-6	2.71E-5	1.75E-5	2.78E-5	2.67E-5	1.75E-5	1.32E-5	1.03E-5	6.8E-6	2.5E-6	0.0	0.0	1.525E-4
ADJUSTMENT_DISORDER	F	5.0E-6	2.56E-5	3.1E-5	5.49E-5	5.49E-5	4.77E-5	3.06E-5	2.42E-5	1.25E-5	1.4E-6	0.0	0.0	2.722E-4
ADOLESCENT	M	4.0E-7	8.2E-6	7.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3E-6
ADOLESCENT	F	7.0E-7	1.03E-5	1.4E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25E-5
ADRENAL_CANCER	M	4.0E-7	4.0E-7	0.0	0.0	4.0E-7	7.0E-7	1.4E-6	4.0E-7	7.0E-7	0.0	0.0	0.0	4.3E-6
ADRENAL_CANCER	F	0.0	0.0	0.0	0.0	4.0E-7	1.1E-6	0.0	2.1E-6	1.4E-6	7.0E-7	0.0	0.0	5.7E-6
ADRENAL_CORTICAL_HYPERPLASIA	M	0.0	0.0	0.0	0.0	7.0E-7	0.0	0.0	7.0E-7	0.0	0.0	0.0	0.0	1.4E-6
ADRENAL_CORTICAL_HYPERPLASIA	F	0.0	0.0	4.0E-7	4.0E-7	1.1E-6	2.1E-6	0.0	0.0	0.0	0.0	0.0	0.0	3.9E-6
ADRENAL_GLAND_DISEASE	M	4.0E-7	4.0E-7	4.0E-7	4.0E-7	2.5E-6	7.1E-6	1.07E-5	9.6E-6	4.3E-6	7.0E-7	0.0	0.0	3.28E-5
ADRENAL_GLAND_DISEASE	F	4.0E-7	4.0E-7	1.4E-6	5.0E-6	5.7E-6	8.9E-6	1.53E-5	1.5E-5	4.6E-6	2.1E-6	4.0E-7	0.0	5.66E-5
ADRENAL_HEMORRHAGE	F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1E-6	0.0	0.0	0.0	0.0	1.1E-6
ADRENAL_INSUFFICIENCY	M	0.0	0.0	4.0E-7	0.0	1.1E-6	4.0E-7	7.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	2.5E-6
ADRENAL_INSUFFICIENCY	F	0.0	0.0	4.0E-7	1.4E-6	2.1E-6	1.8E-6	1.4E-6	1.8E-6	3.2E-6	4.0E-7	0.0	0.0	1.07E-5
ADRENAL_NEOPLASM	M	0.0	0.0	4.0E-7	4.0E-7	1.8E-6	5.0E-6	1.07E-5	7.5E-6	3.6E-6	4.0E-7	0.0	0.0	2.96E-5
ADRENAL_NEOPLASM	F	0.0	0.0	0.0	1.1E-6	4.3E-6	7.1E-6	1.53E-5	8.2E-6	2.5E-6	2.1E-6	0.0	0.0	4.06E-5
ADRENOGENITAL_SYNDROME	M	7.0E-7	4.0E-7	4.0E-7	4.0E-7	7.0E-7	7.0E-7	4.0E-7	4.0E-7	7.0E-7	0.0	0.0	0.0	4.6E-6
ADRENOGENITAL_SYNDROME	F	4.0E-7	0.0	7.0E-7	2.1E-6	1.1E-6	0.0	0.0	0.0	7.0E-7	0.0	0.0	0.0	5.0E-6
ADVANCED_SLEEP_PHASE	M	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	7.0E-7	4.0E-7	0.0	0.0	0.0	1.4E-6
ADVANCED_SLEEP_PHASE	F	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
ADVERSE_DRUG_REACTION	M	3.6E-6	2.5E-6	2.5E-6	2.5E-6	3.9E-6	6.1E-6	1.14E-5	1.03E-5	6.8E-6	1.1E-6	0.0	0.0	4.06E-5
ADVERSE_DRUG_REACTION	F	6.4E-6	3.6E-6	7.5E-6	1.39E-5	1.82E-5	2.53E-5	3.7E-5	3.56E-5	1.35E-5	3.9E-6	7.0E-7	0.0	1.585E-4
ADVERSE_EFFECT	M	3.6E-6	2.5E-6	2.5E-6	2.5E-6	3.9E-6	6.1E-6	1.14E-5	1.03E-5	6.8E-6	1.1E-6	0.0	0.0	4.06E-5
ADVERSE_EFFECT	F	6.4E-6	3.6E-6	7.5E-6	1.39E-5	1.82E-5	2.53E-5	3.7E-5	3.56E-5	1.35E-5	3.9E-6	7.0E-7	0.0	1.585E-4
AFFECTIVE_DISORDER	M	0.0	0.0	4.0E-7	0.0	0.0	7.0E-7	4.0E-7	7.0E-7	0.0	0.0	0.0	0.0	2.1E-6
AFFECTIVE_DISORDER	F	0.0	0.0	1.1E-6	0.0	1.1E-6	2.1E-6	7.0E-7	1.1E-6	7.0E-7	0.0	0.0	0.0	6.8E-6
AIRWAY_OBSTRUCTION	M	2.8E-6	7.0E-7	3.6E-6	1.0E-5	5.45E-5	1.838E-4	4.375E-4	5.575E-4	3.114E-4	5.45E-5	7.0E-7	0.0	0.001617
AIRWAY_OBSTRUCTION	F	1.1E-6	7.0E-7	2.1E-6	1.5E-5	5.38E-5	1.856E-4	4.407E-4	5.19E-4	3.47E-4	8.09E-5	2.5E-6	0.0	0.0016483
ALCOHOL_DEPENDENCE	M	0.0	1.4E-6	9.6E-6	1.14E-5	2.67E-5	2.89E-5	2.99E-5	3.28E-5	7.5E-6	1.1E-6	0.0	0.0	1.493E-4
ALCOHOL_DEPENDENCE	F	0.0	4.0E-7	2.5E-6	4.3E-6	1.18E-5	1.03E-5	1.25E-5	1.07E-5	5.7E-6	1.1E-6	0.0	0.0	5.91E-5
ALCOHOL_INTOXICATION	M	0.0	0.0	4.0E-7	4.0E-7	0.0	7.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	1.4E-6
ALCOHOL_INTOXICATION	F	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	4.0E-7
ALCOHOL_WITHDRAWAL_SYNDROME	M	0.0	0.0	1.8E-6	3.2E-6	9.6E-6	8.5E-6	1.03E-5	7.8E-6	1.1E-6	4.0E-7	0.0	0.0	4.27E-5
ALCOHOL_WITHDRAWAL_SYNDROME	F	0.0	0.0	7.0E-7	4.0E-7	2.8E-6	1.1E-6	3.2E-6	7.0E-7	1.4E-6	4.0E-7	0.0	0.0	1.03E-5
ALCOHOLIC_BEVERAGE	F	4.0E-7	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7
ALCOHOLIC_CARDIOMYOPATHY	M	0.0	0.0	0.0	0.0	4.0E-7	1.1E-6	1.1E-6	1.8E-6	7.0E-7	0.0	0.0	0.0	5.0E-6
ALCOHOLIC_CARDIOMYOPATHY	F	0.0	0.0	0.0	4.0E-7	0.0	4.0E-7	7.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	2.1E-6
ALCOHOLIC_CIRRHOSIS	M	0.0	0.0	0.0	7.0E-7	5.3E-6	1.07E-5	1.1E-5	1.07E-5	7.0E-7	0.0	0.0	0.0	3.92E-5
ALCOHOLIC_CIRRHOSIS	F	0.0	0.0	0.0	0.0	4.0E-7	3.2E-6	5.3E-6	4.3E-6	2.1E-6	0.0	0.0	0.0	1.53E-5
ALCOHOLIC_GASTRITIS	M	0.0	0.0	4.0E-7	7.0E-7	0.0	1.4E-6	2.5E-6	1.1E-6	0.0	0.0	0.0	0.0	6.1E-6
ALCOHOLIC_GASTRITIS	F	0.0	0.0	0.0	7.0E-7	7.0E-7	7.0E-7	1.1E-6	7.0E-7	0.0	0.0	0.0	0.0	3.9E-6
ALCOHOLIC_GASTRITIS_WITH_HEMORRHAGE	M	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7	0.0	0.0	0.0	0.0	0.0	7.0E-7
ALCOHOLIC_GASTRITIS_WITH_HEMORRHAGE	F	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	4.0E-7
ALCOHOLIC_HEPATITIS	M	0.0	0.0	4.0E-7	1.4E-6	2.8E-6	7.1E-6	5.0E-6	1.8E-6	4.0E-7	0.0	0.0	0.0	1.89E-5
ALCOHOLIC_HEPATITIS	F	0.0	0.0	0.0	4.0E-7	4.0E-7	7.0E-7	2.5E-6	0.0	0.0	0.0	0.0	0.0	3.9E-6
ALCOHOLIC_LIVER_DISEASE	M	0.0	0.0	4.0E-7	1.4E-6	5.3E-6	1.07E-5	1.1E-5	1.07E-5	7.0E-7	0.0	0.0	0.0	3.92E-5
ALCOHOLIC_LIVER_DISEASE	F	0.0	0.0	0.0	4.0E-7	1.1E-6	3.2E-6	5.3E-6	4.3E-6	2.1E-6	7.0E-7	0.0	0.0	1.53E-5
ALCOHOLISM	M	0.0	7.8E-6	2.81E-5	1.71E-5	3.31E-5	4.06E-5	4.24E-5	2.78E-5	1.0E-5	1.1E-6	0.0	0.0	2.08E-4
ALCOHOLISM	F	0.0	8.2E-6	1.42E-5	8.9E-6	1.75E-5	1.35E-5	1.6E-5	1.14E-5	3.9E-6	1.1E-6	0.0	0.0	9.48E-5
ALKALOSIS	M	1.1E-6	0.0	1.1E-6	1.1E-6	7.0E-7	3.9E-6	5.0E-6	8.2E-6	7.5E-6	7.0E-7	0.0	0.0	2.92E-5
ALKALOSIS	F	4.0E-7	4.0E-7	4.0E-7	4.0E-7	2.8E-6	3.9E-6	6.4E-6	8.5E-6	1.0E-5	3.2E-6	0.0	0.0	3.63E-5
ALLERGIC_RHINITIS	M	3.163E-4	2.907E-4	1.478E-4	2.155E-4	2.515E-4	2.608E-4	2.747E-4	2.412E-4	8.16E-5	1.32E-5	4.0E-7	0.0	0.0020937
ALLERGIC_RHINITIS	F	2.526E-4	2.665E-4	2.569E-4	3.673E-4	4.239E-4	4.499E-4	5.141E-4	4.026E-4	1.624E-4	2.21E-5	4.0E-7	0.0	0.0031186
ALLERGIC_URTICARIA	M	1.92E-5	8.2E-6	4.3E-6	4.6E-6	6.1E-6	5.3E-6	1.0E-5	7.1E-6	7.0E-7	0.0	0.0	0.0	6.55E-5
ALLERGIC_URTICARIA	F	1.71E-5	8.9E-6	1.21E-5	1.35E-5	1.96E-5	1.6E-5	1.42E-5	1.18E-5	5.3E-6	7.0E-7	0.0	0.0	1.193E-4
ALOPECIA	M	2.5E-6	2.8E-6	9.6E-6	1.25E-5	1.14E-5	6.1E-6	6.4E-6	2.5E-6	1.1E-6	4.0E-7	0.0	0.0	5.52E-5
ALOPECIA	F	3.6E-6	7.8E-6	2.64E-5	3.67E-5	4.1E-5	3.99E-5	4.06E-5	3.81E-5	1.32E-5	1.8E-6	0.0	0.0	2.49E-4
ALOPECIA_AREATA	M	1.1E-6	2.5E-6	3.6E-6	5.7E-6	3.2E-6	2.5E-6	1.4E-6	1.1E-6	4.0E-7	0.0	0.0	0.0	2.14E-5
ALOPECIA_AREATA	F	1.1E-6	2.1E-6	5.7E-6	6.8E-6	6.4E-6	7.5E-6	6.1E-6	5.3E-6	7.0E-7	0.0	0.0	0.0	4.17E-5
ALPHA_1_ANTITRYPSIN_DEFICIENCY	M	0.0	0.0	0.0	0.0	0.0	0.0	1.4E-6	4.0E-7	0.0	4.0E-7	0.0	0.0	2.1E-6
