symptom	name	labs	labNames
ERYTHEMA_CHRONICUM_MIGRICANS	erythema chronicum migricans (erythema migrans)	(BORRELIA_BURGDORFERI_DNA)	(Borrelia burgdorferi DNA)
METHEMOGLOBINEMIA	methemoglobinemia	(ARTERIAL_BLOOD_GAS PARTIAL_PRESSURE_OF_OXYGEN_IN_ARTERIAL_BLOOD SAO2)	(arterial blood gas (ABG) partial pressure of oxygen in arterial blood (PaO2) SaO2)
ACUTE_RESPIRATORY_FAILURE	acute respiratory failure	(ARTERIAL_BLOOD_GAS PARTIAL_PRESSURE_OF_OXYGEN_IN_ARTERIAL_BLOOD NEGATIVE_LOG_H+_CONCENTRATION CULTURE)	(arterial blood gas (ABG) partial pressure of oxygen in arterial blood (PaO2) - logarithm[10] H+ concentration (pH) culture)
HYPERPHOSPHATEMIA	hyperphosphatemia	(PHOSPHORUS_IN_SERUM CALCIUM_IN_SERUM/PLASMA NEGATIVE_LOG_H+_CONCENTRATION)	(phosphorus (inorganic phosphate) in serum calcium (Ca+2) in serum/plasma/blood - logarithm[10] H+ concentration (pH))
HYPOPHOSPHATEMIA	hypophosphatemia	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR ARTERIAL_BLOOD_GAS CALCIUM_IN_SERUM/PLASMA PHOSPHORUS_IN_SERUM 24_HOUR_URINE_PHOSPHORUS PHOSPHORUS_IN_URINE FRACTIONAL_EXCRETION_OF_PHOSPHORUS)	(complete blood count (CBC) peripheral blood smear arterial blood gas (ABG) calcium (Ca+2) in serum/plasma/blood phosphorus (inorganic phosphate) in serum 24 hour urine phosphorus (inorganic phosphate) phosphorus in urine fractional excretion of phosphorus)
CSF_LEAKAGE	cerebrospinal fluid (CSF) leakage	(GLUCOSE_IN_CSF BETA_2_TRANSFERRIN_IN_BODY_FLUID CEREBROSPINAL_FLUID_PROTEIN_ELECTROPHORESIS)	(glucose in CSF beta-2 transferrin in body fluid cerebrospinal fluid (CSF) protein electrophoresis)
AMENORRHEA	amenorrhea (oligomenorrhea)	(PREGNANCY_TEST PROLACTIN_IN_SERUM PROGESTERONE_CHALLENGE_TEST FOLLICLE_STIMULATING_HORMONE_IN_SERUM ESTRADIOL_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM GLUCOSE_IN_SERUM/PLASMA KARYOTYPING)	(pregnancy test prolactin in serum progesterone challenge test follicle-stimulating hormone (FSH) in serum estradiol in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum glucose in serum/plasma karyotyping)
GALACTORRHEA	galactorrhea	(PREGNANCY_TEST THYROID_FUNCTION_TEST)	(pregnancy test thyroid function test)
NIPPLE_DISCHARGE	nipple discharge	(CULTURE CYTOLOGY)	(culture cytology)
CHEILITIS	cheilitis	(IRON_STUDIES COMPLETE_BLOOD_COUNT GLUCOSE_IN_SERUM/PLASMA ALBUMIN_IN_SERUM RIBOFLAVIN_IN_SERUM/PLASMA)	(iron studies complete blood count (CBC) glucose in serum/plasma albumin in serum riboflavin in serum/plasma)
HYPOTHERMIA	hypothermia	(ARTERIAL_BLOOD_GAS COMPLETE_BLOOD_COUNT HEMATOCRIT)	(arterial blood gas (ABG) complete blood count (CBC) hematocrit (Hct) of blood)
PALPITATION	palpitations	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR THYROID_FUNCTION_TEST POTASSIUM_IN_SERUM MAGNESIUM_IN_SERUM)	(complete blood count (CBC) peripheral blood smear thyroid function test potassium (K+) in serum/plasma magnesium (Mg+2) in serum)
HEMATOSPERMIA	hematospermia	(URINALYSIS PROSTATE_SPECIFIC_ANTIGEN_IN_SERUM)	(urinalysis (UA) prostate specific antigen (PSA) in serum)
CHOLESTASIS	cholestasis	(LIVER_FUNCTION_TEST)	(liver (function) tests (LFT, liver panel, hepatic function panel))
GASTROPARESIS	gastroparesis	(COMPLETE_BLOOD_COUNT GLUCOSE_IN_SERUM/PLASMA ELECTROLYTES_IN_SERUM PROTEIN_TOTAL_IN_SERUM ALBUMIN_IN_SERUM CALCIUM_IN_SERUM/PLASMA PREGNANCY_TEST THYROID_STIMULATING_HORMONE_IN_SERUM NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM ANTI_SCL70_IN_BODY_FLUID HEMOGLOBIN_A1C_IN_RED_BLOOD_CELLS ANTINEURONAL_NUCLEAR_ANTIBODY)	(complete blood count (CBC) glucose in serum/plasma electrolytes in serum protein (total) in serum albumin in serum calcium (Ca+2) in serum/plasma/blood pregnancy test thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum anti-Scl-70 (anti-topoisomerase) in body fluid hemoglobin A1c in red blood cells (Tina-quant HbA1cDx) antineuronal nuclear antibody (ANNA))
DYSPEPSIA	dyspepsia (indigestion)	(H_PYLORI_STOOL_ANTIGEN_ASSAY)	(Helicobacter pylori (H pylori) stool/tissue antigen assay)
HYPOALDOSTERONISM	hypoaldosteronism; mineralocorticoid deficiency	(ALDOSTERONE_IN_SERUM SODIUM_IN_SERUM POTASSIUM_IN_SERUM)	(aldosterone in serum/plasma sodium (Na+) in serum potassium (K+) in serum/plasma)
PENILE_DISCHARGE	penile discharge	(CULTURE URINALYSIS URINE_CULTURE VDRL_REAGIN_SLIDE RAPID_PLASMA_REAGIN COMPLETE_BLOOD_COUNT)	(culture urinalysis (UA) urine culture VDRL reagin slide (VDRL) rapid plasma reagin (RPR) complete blood count (CBC))
VAGINAL_DISCHARGE	vaginal discharge	(WHITE_BLOOD_CELL_COUNT NEGATIVE_LOG_H+_CONCENTRATION CULTURE)	(white blood cell count (WBC with WBC differential) - logarithm[10] H+ concentration (pH) culture)
PROTEINURIA	proteinuria	(URINALYSIS MICROSCOPY ERYTHROCYTE_CAST PROTEIN/CREATININE_RATIO_IN_URINE PROTEIN_IN_URINE 24_HOUR_URINE_PROTEIN URINE_PROTEIN_ELECTROPHORESIS NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM ANTI_GLOMERULAR_BASEMENT_MEMBRANE_ANTIBODY CH50_ASSAY ANTI_NEUTROPHIL_CYTOPLASMIC_ANTIBODY HEPATITIS_PROFILE ANTI_STREPTOLYSIN_O_IN_BODY_FLUID SEROLOGY)	(urinalysis (UA) microscopy erythrocyte cast (RBC cast) protein/creatinine ratio in urine protein in urine 24 hour urine protein urine protein electrophoresis nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum anti-glomerular basement membrane (GBM) antibody CH50 Assay (serum) anti-neutrophil cytoplasmic antibody (ANCA) hepatitis profile (serology) anti-streptolysin O in body fluid serology)
OLIGURIA	oliguria	(URINALYSIS MICROSCOPY ERYTHROCYTE_CAST LEUKOCYTE_CAST URINARY_INDEX COMPLETE_BLOOD_COUNT URINE_OSMOLALITY CREATININE_IN_SERUM/PLASMA BUN/CREATININE_RATIO UREA_NITROGEN_IN_BLOOD FRACTIONAL_EXCRETION_OF_SODIUM)	(urinalysis (UA) microscopy erythrocyte cast (RBC cast) leukocyte cast (WBC cast) urinary indices complete blood count (CBC) urine osmolality creatinine in serum/plasma urea nitrogen (BUN)/creatinine ratio urea nitrogen in blood; blood urea nitrogen (BUN) fractional excretion of sodium (FENA))
TINNITUS	tinnitus	(COMPLETE_BLOOD_COUNT GLUCOSE_IN_SERUM/PLASMA LIPID_PANEL THYROID_FUNCTION_TEST)	(complete blood count (CBC) glucose in serum/plasma lipid panel (fasting lipid panel, FLP) thyroid function test)
BELL^S_PALSY	Bell's palsy; cranial nerve 7 palsy; facial nerve palsy	(COMPLETE_BLOOD_COUNT ERYTHROCYTE_SEDIMENTATION_RATE ELECTROLYTE_PANEL GLUCOSE_IN_SERUM/PLASMA UREA_NITROGEN_IN_SERUM/PLASMA CREATININE_IN_SERUM/PLASMA LIVER_FUNCTION_TEST SEROLOGY ANGIOTENSIN_CONVERTING_ENZYME_IN_SERUM CELL_COUNT VDRL_REAGIN_SLIDE OLIGOCLONAL_BANDING_FOR_MULTIPLE_SCLEROSIS)	(complete blood count (CBC) erythrocyte sedimentation rate (ESR) electrolyte panel glucose in serum/plasma urea nitrogen in serum/plasma creatinine in serum/plasma liver (function) tests (LFT, liver panel, hepatic function panel) serology angiotensin-converting enzyme (ACE) in serum/plasma/blood cell count VDRL reagin slide (VDRL) oligoclonal banding for multiple sclerosis (high-resolution CSF protein electrophoresis))
NEUTROPENIA	neutropenia	(COMPLETE_BLOOD_COUNT WHITE_BLOOD_CELL_COUNT MEAN_CORPUSCULAR_VOLUME PERIPHERAL_BLOOD_SMEAR TOXIC_GRANULATION BONE_MARROW_ASPIRATE VITAMIN_B12_IN_SERUM/PLASMA FOLATE_IN_SERUM/PLASMA BODY_FLUID_CULTURE BLOOD_CULTURE CULTURE)	(complete blood count (CBC) white blood cell count (WBC with WBC differential) mean corpuscular volume (MCV) peripheral blood smear toxic granulation bone marrow aspirate vitamin B12 in serum/plasma folate in serum/plasma culture of body fluid blood culture culture)
PRURITIS	pruritis (itching)	(COMPLETE_BLOOD_COUNT THYROID_FUNCTION_TEST FERRITIN_IN_SERUM/PLASMA IRON_IN_SERUM IRON_BINDING_CAPACITY_IN_SERUM LIVER_FUNCTION_TEST ASPARTATE_AMINOTRANSFERASE_IN_SERUM ALANINE_AMINOTRANSFERASE_IN_SERUM ALKALINE_PHOSPHATASE_IN_SERUM BILIRUBIN_TOTAL_IN_SERUM GAMMA_GLUTAMYLTRANSFERASE_IN_SERUM BILE_ACIDS_IN_SERUM RENAL_FUNCTION_TEST CREATININE_IN_SERUM/PLASMA UREA_NITROGEN_IN_SERUM/PLASMA)	(complete blood count (CBC) thyroid function test ferritin in serum/plasma iron (Fe+2/Fe+3) in serum iron-binding capacity in serum (TIBC) liver (function) tests (LFT, liver panel, hepatic function panel) aspartate aminotransferase (AST) in serum (SGOT) alanine aminotransferase (ALT) in serum (SGPT) alkaline phosphatase (ALP) in serum bilirubin (total) in serum (TBIL) gamma-glutamyltransferase (GGT) in serum bile acids in serum renal function tests; renal function panel creatinine in serum/plasma urea nitrogen in serum/plasma)
PLEURAL_EFFUSION	pleural effusion	(CHOLESTEROL_IN_SERUM/PLASMA CULTURE LACTATE_DEHYDROGENASE_IN_SERUM PROTEIN_IN_PLEURAL_FLUID PROTEIN_TOTAL_IN_SERUM HEMATOCRIT NEGATIVE_LOG_H+_CONCENTRATION GLUCOSE_IN_PLEURAL_FLUID AMYLASE_IN_PLEURAL_FLUID TRIGLYCERIDE_IN_PLEURAL_FLUID CYTOLOGY CELL_COUNT)	(cholesterol in serum/plasma culture lactate dehydrogenase (LDH) in serum protein in pleural fluid protein (total) in serum hematocrit (Hct) of blood - logarithm[10] H+ concentration (pH) glucose in pleural fluid amylase in pleural fluid triglyceride in pleural fluid cytology cell count)
MALABSORPTION	malabsorption	(COMPLETE_BLOOD_COUNT IRON_STUDIES D_XYLOSE_ABSORPTION_TEST SECRETIN_STIMULATION_TEST PROTHROMBIN_TIME SCHILLING_TEST)	(complete blood count (CBC) iron studies D-xylose absorption test secretin stimulation test prothrombin time (PT) Schilling test)
HYPOALBUMINEMIA	hypoalbuminemia	(ALBUMIN_IN_SERUM RENAL_FUNCTION_TEST LIVER_FUNCTION_TEST PROTEIN_IN_URINE URINALYSIS PROTEIN_ELECTROPHORESIS THROMBIN_TIME)	(albumin in serum renal function tests; renal function panel liver (function) tests (LFT, liver panel, hepatic function panel) protein in urine urinalysis (UA) protein electrophoresis thrombin time (TT))
CELLULITIS	cellulitis	(BLOOD_CULTURE CULTURE COMPLETE_BLOOD_COUNT)	(blood culture culture complete blood count (CBC))
ATAXIA	ataxia	(VITAMIN_B12_IN_SERUM/PLASMA ALPHA_TOCOPHEROL_IN_SERUM/PLASMA THIAMINE_IN_SERUM/PLASMA/BLOOD THYROID_FUNCTION_TEST SEROLOGY BORRELIA_BURGDORFERI_ANTIBODY_IN_SERUM LEGIONELLA_ANTIBODY_IN_BODY_FLUID)	(vitamin B12 in serum/plasma alpha-tocopherol (vitamin E) in serum/plasma thiamine in serum/plasma/blood thyroid function test serology Borrelia burgdorferi antibody in serum Legionella antibody in body fluid)
DYSURIA	dysuria	(URINALYSIS URINE_CULTURE GENPROBE TZANCK_SMEAR CULTURE SEROLOGY)	(urinalysis (UA) urine culture Chlamydia trachomatis/Neisseria gonorrhoeae DNA by PCR (GenProbe, Amplicor) Tzanck smear culture serology)
DYSPNEA	dyspnea (shortness of breath {SOB})	(B_TYPE_NATRIURETIC_PEPTIDE_IN_SERUM/PLASMA)	(B-type natriuretic peptide (BNP & N-terminal pro-BNP) in serum/plasma)
CARDIOMEGALY	cardiomegaly	(COMPLETE_BLOOD_COUNT CHEMISTRY_7_PANEL LIVER_FUNCTION_TEST THYROID_FUNCTION_TEST LIPID_PANEL)	(complete blood count (CBC) chemistry 7 panel (Chem-7 SMA7) liver (function) tests (LFT, liver panel, hepatic function panel) thyroid function test lipid panel (fasting lipid panel, FLP))
ASCITES	ascites	(COMPLETE_BLOOD_COUNT LIVER_FUNCTION_TEST AMYLASE_IN_SERUM TRIGLYCERIDE_IN_SERUM B_TYPE_NATRIURETIC_PEPTIDE_IN_SERUM/PLASMA ASCITIC_FLUID_ANALYSIS CULTURE&SENSITIVITY MYCOBACTERIAL_CULTURE CYTOLOGY WHITE_BLOOD_CELL_COUNT)	(complete blood count (CBC) liver (function) tests (LFT, liver panel, hepatic function panel) amylase in serum triglyceride in serum B-type natriuretic peptide (BNP & N-terminal pro-BNP) in serum/plasma ascitic fluid analysis culture & sensitivity (C&S) Mycobacterium & acid-fast bacterium (AFB) culture cytology white blood cell count (WBC with WBC differential))
HYDRONEPHROSIS	hydronephrosis	(24_HOUR_URINE_PROTEIN CREATININE_IN_SERUM/PLASMA)	(24 hour urine protein creatinine in serum/plasma)
PARESTHESIA	paresthesia	(HEMOGLOBIN_A1C_IN_RED_BLOOD_CELLS VITAMIN_B12_IN_SERUM/PLASMA SCHILLING_TEST OLIGOCLONAL_BANDING_FOR_MULTIPLE_SCLEROSIS CALCIUM_IN_SERUM/PLASMA ALBUMIN_IN_SERUM FREE_THYROXINE_IN_SERUM)	(hemoglobin A1c in red blood cells (Tina-quant HbA1cDx) vitamin B12 in serum/plasma Schilling test oligoclonal banding for multiple sclerosis (high-resolution CSF protein electrophoresis) calcium (Ca+2) in serum/plasma/blood albumin in serum thyroxine [T4] (free) in serum)
DISSEMINATED_INTRAVASCULAR_COAGULATION	disseminated intravascular coagulation (DIC)	(PARTIAL_THROMBOPLASTIN_TIME FIBRIN_DEGRADATION_PRODUCTS_IN_PLASMA D_DIMER_IN_PLASMA FIBRINOGEN_IN_PLASMA PERIPHERAL_BLOOD_SMEAR)	(partial thromboplastin time (PTT) fibrin degradation products in plasma; fibrin split products in plasma (FDP, FSP) D-dimer in plasma (SimpliRED) fibrinogen in plasma peripheral blood smear)
DIZZINESS	dizziness	(COMPLETE_BLOOD_COUNT ELECTROLYTES_IN_SERUM CREATININE_IN_SERUM/PLASMA GLUCOSE_IN_SERUM/PLASMA THYROID_STIMULATING_HORMONE_IN_SERUM)	(complete blood count (CBC) electrolytes in serum creatinine in serum/plasma glucose in serum/plasma thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
CONSTIPATION	constipation	(CALCIUM_IN_SERUM/PLASMA POTASSIUM_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM GLUCOSE_IN_SERUM/PLASMA CREATININE_IN_SERUM/PLASMA)	(calcium (Ca+2) in serum/plasma/blood potassium (K+) in serum/plasma thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum glucose in serum/plasma creatinine in serum/plasma)
CARDIAC_ARRHYTHMIA	cardiac arrhythmia	(ELECTROLYTES_IN_SERUM POTASSIUM_IN_SERUM CALCIUM_IN_SERUM/PLASMA MAGNESIUM_IN_SERUM THYROID_FUNCTION_TEST)	(electrolytes in serum potassium (K+) in serum/plasma calcium (Ca+2) in serum/plasma/blood magnesium (Mg+2) in serum thyroid function test)
URTICARIA	urticaria (hives)	(COMPLETE_BLOOD_COUNT ELEVATED_ERYTHROCYTE_SEDIMENTATION_RATE ERYTHROCYTE_SEDIMENTATION_RATE C_REACTIVE_PROTEIN_IN_SERUM URINALYSIS CHEMISTRY_PANEL NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM THYROID_FUNCTION_TEST COMPLEMENT_C3_IN_SERUM COMPLEMENT_C4_IN_SERUM SERUM_PROTEIN_ELECTROPHORESIS IGE_IN_SERUM)	(complete blood count (CBC) elevated erythrocyte sedimentation rate erythrocyte sedimentation rate (ESR) C-reactive protein (CRP) in serum urinalysis (UA) chemistry panel nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum thyroid function test complement C3 in serum complement C4 in serum serum protein electrophoresis (SPE) IgE in serum)
TOXIC_EPIDERMAL_NECROLYSIS	toxic (bullous) epidermal necrolysis (Lyell syndrome, TEN)	(BLOOD_CULTURE COMPLETE_BLOOD_COUNT UREA_NITROGEN_IN_SERUM/PLASMA ELECTROLYTES_IN_SERUM CREATININE_IN_SERUM/PLASMA LIVER_FUNCTION_TEST ERYTHROCYTE_SEDIMENTATION_RATE URINALYSIS)	(blood culture complete blood count (CBC) urea nitrogen in serum/plasma electrolytes in serum creatinine in serum/plasma liver (function) tests (LFT, liver panel, hepatic function panel) erythrocyte sedimentation rate (ESR) urinalysis (UA))
PHOTOSENSITIVITY	photosensitivity	(COMPLETE_BLOOD_COUNT LIVER_FUNCTION_TEST RENAL_FUNCTION_TEST SEROLOGY NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM ANTI_SSA_IN_BODY_FLUID ANTI_SSB_IN_BODY_FLUID LIGHT_MICROSCOPY MICROSCOPY)	(complete blood count (CBC) liver (function) tests (LFT, liver panel, hepatic function panel) renal function tests; renal function panel serology nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum anti-SSA/Ro in body fluid anti-SSB/La in body fluid light microscopy microscopy)
ALOPECIA	alopecia (hair loss, balding)	(FUNGUS_CULTURE)	(fungus culture)
ACNE	acne	(DEHYDROEPIANDROSTERONE_SULFATE_IN_SERUM/PLASMA)	(dehydroepiandrosterone (DHEA) sulfate in serum/plasma)
HYPONATREMIA	hyponatremia	(SERUM_OSMOLALITY URINE_OSMOLALITY ELECTROLYTE_PANEL POTASSIUM_IN_SERUM BICARBONATE_IN_SERUM CHLORIDE_IN_SERUM GLUCOSE_IN_SERUM/PLASMA UREA_NITROGEN_IN_SERUM/PLASMA BUN/CREATININE_RATIO UREA_NITROGEN_IN_BLOOD CREATININE_IN_SERUM/PLASMA URIC_ACID_IN_SERUM URINE_CHEMISTRY_TEST SODIUM_IN_URINE CREATININE_IN_URINE FRACTIONAL_EXCRETION_OF_SODIUM THYROID_FUNCTION_TEST)	(serum osmolality urine osmolality electrolyte panel potassium (K+) in serum/plasma bicarbonate (HCO3-) in serum chloride (Cl-) in serum glucose in serum/plasma urea nitrogen in serum/plasma urea nitrogen (BUN)/creatinine ratio urea nitrogen in blood; blood urea nitrogen (BUN) creatinine in serum/plasma uric acid in serum urine chemistry test sodium (Na+) in urine creatinine in urine fractional excretion of sodium (FENA) thyroid function test)
HYPERNATREMIA	hypernatremia	(ELECTROLYTE_PANEL URINE_OSMOLALITY PROTEIN_IN_CSF WHITE_BLOOD_CELL_COUNT)	(electrolyte panel urine osmolality protein in cerebrospinal fluid (CSF) white blood cell count (WBC with WBC differential))
HYPOKALEMIA	hypokalemia	(POTASSIUM_IN_SERUM GLUCOSE_IN_SERUM/PLASMA POTASSIUM_IN_URINE ARTERIAL_BLOOD_GAS NEGATIVE_LOG_H+_CONCENTRATION MAGNESIUM_IN_SERUM)	(potassium (K+) in serum/plasma glucose in serum/plasma potassium (K+) in urine arterial blood gas (ABG) - logarithm[10] H+ concentration (pH) magnesium (Mg+2) in serum)
HYPERKALEMIA	hyperkalemia	(POTASSIUM_IN_SERUM CREATININE_IN_SERUM/PLASMA UREA_NITROGEN_IN_SERUM/PLASMA BUN/CREATININE_RATIO UREA_NITROGEN_IN_BLOOD GLUCOSE_IN_SERUM/PLASMA CREATINE_KINASE_IN_SERUM)	(potassium (K+) in serum/plasma creatinine in serum/plasma urea nitrogen in serum/plasma urea nitrogen (BUN)/creatinine ratio urea nitrogen in blood; blood urea nitrogen (BUN) glucose in serum/plasma creatine kinase (CK) in serum)
HYPERBILIRUBINEMIA	hyperbilirubinemia	(COMPLETE_BLOOD_COUNT ALKALINE_PHOSPHATASE_IN_SERUM PROTHROMBIN_TIME HEPATITIS_PROFILE HEPATITIS_A_SEROLOGY HEPATITIS_B_SEROLOGY HEPATITIS_C_SEROLOGY HETEROPHILE_ANTIBODY EPSTEIN_BARR_VIRUS_SEROLOGY SEROLOGY ANTI_MITOCHONDRIAL_ANTIBODY TRANSFERRIN_SATURATION_IN_SERUM/PLASMA FERRITIN_IN_SERUM/PLASMA IRON_STUDIES IRON_IN_SERUM IRON_BINDING_CAPACITY_IN_SERUM ANTI_SMOOTH_MUSCLE_ANTIBODY)	(complete blood count (CBC) alkaline phosphatase (ALP) in serum prothrombin time (PT) hepatitis profile (serology) hepatitis A serology (includes IgM anti-hepatitis A) hepatitis B virus (HBV) serology hepatitis C virus (HCV) serology heterophile antibody Epstein-Barr virus (EBV) serology serology anti-mitochondrial antibody transferrin saturation in serum/plasma ferritin in serum/plasma iron studies iron (Fe+2/Fe+3) in serum iron-binding capacity in serum (TIBC) anti-smooth muscle antibody (ASMA))
IMPOTENCE	impotence	(GLUCOSE_IN_SERUM/PLASMA FREE_TESTOSTERONE TESTOSTERONE_IN_SERUM FOLLICLE_STIMULATING_HORMONE_IN_SERUM PROLACTIN_IN_SERUM UREA_NITROGEN_IN_SERUM/PLASMA CREATININE_IN_SERUM/PLASMA HEMOGLOBIN_A1C_IN_RED_BLOOD_CELLS)	(glucose in serum/plasma free testosterone testosterone in serum follicle-stimulating hormone (FSH) in serum prolactin in serum urea nitrogen in serum/plasma creatinine in serum/plasma hemoglobin A1c in red blood cells (Tina-quant HbA1cDx))
HYPOPHOSPHATASIA	hypophosphatasia	(PHOSPHORUS_IN_SERUM)	(phosphorus (inorganic phosphate) in serum)
