disease	name	symptoms	symptomNames
MULTIFOCAL_FIBROSCLEROSIS	multifocal fibrosclerosis	(UVEITIS PORTAL_HYPERTENSION PULMONARY_EMBOLISM DEEP_VEIN_THROMBOSIS PERIPHERAL_EDEMA HYDRONEPHROSIS DIARRHEA VOMITING ABDOMINAL_PAIN LOW_BACK_PAIN)	(uveitis portal hypertension pulmonary embolism (PE) deep vein thrombosis (DVT) peripheral edema hydronephrosis diarrhea vomiting abdominal pain low back pain (LBP))
PALINDROMIC_RHEUMATISM	palindromic rheumatism; Hench-Rosenberg syndrome; intermittent hydrarthrosis	(ARTHRITIS)	(arthritis)
MIXED_CONNECTIVE_TISSUE_DISEASE	mixed connective tissue disease; Sharp's syndrome (MCTD)	(MYOCARDITIS PERICARDITIS GLOMERULONEPHRITIS PULMONARY_HYPERTENSION PLEURAL_EFFUSION PLEURITIS ASEPTIC_MENINGITIS TRIGEMINAL_NEURALGIA SEROSITIS POLYMYOSITIS MYOSITIS FEVER FATIGUE MYALGIA ARTHRITIS ARTHRALGIA SCLERODACTYLY RAYNAUD^S_PHENOMENON SCLERODERMA DERMATOMYOSITIS)	(myocarditis pericarditis glomerulonephritis (GN, nephritic syndrome) pulmonary hypertension pleural effusion pleuritis (pleurisy) aseptic meningitis trigeminal neuralgia (tic douloureux) serositis polymyositis myositis (inflammatory myopathy) fever fatigue; lassitude; tiredness myalgia (muscle pain) arthritis arthralgia sclerodactyly Raynaud's phenomenon scleroderma (systemic sclerosis) dermatomyositis)
EARLY_ONSET_HYPERTENSION_WITH_SEVERE_EXACERBATION_IN_PREGNANCY	early onset hypertension with severe exacerbation in pregnancy	(HYPERTENSION)	(hypertension (HTN, high blood pressure, HBP))
ANDROGEN_INSUFFICIENCY	androgen insufficiency (hypoandrogenism, testosterone deficiency)	(HYPERSOMNIA SLEEP_DISORDER COGNITIVE_IMPAIRMENT FATIGUE DYSTHYMIA DEPRESSION PERSPIRATION HOT_FLASH LOSS_OF_HEIGHT)	(hypersomnia (hypersomnolence, excessive sleepiness) sleep disorder cognitive impairment fatigue; lassitude; tiredness dysthymia depression perspiration (sweating) hot flash; menopausal vasomotor symptom loss of height)
COPPER_DEFICIENCY	copper deficiency	(ATAXIA SPASTICITY PARESTHESIA LOSS_OF_SENSATION HYPOPIGMENTATION MUSCLE_WEAKNESS)	(ataxia spasticity paresthesia loss of sensation hypopigmentation muscle weakness)
HEAT_EXHAUSTION	heat exhaustion	(PERSPIRATION ANOREXIA PALLOR HYPOTENSION TACHYARRHYTHMIA VASOVAGAL_REACTION VERTIGO NAUSEA VOMITING WEAKNESS HEADACHE)	(perspiration (sweating) anorexia pallor hypotension tachyarrhythmia (tachycardia) vasovagal reaction (fainting) vertigo nausea vomiting weakness headache)
EXERTIONAL_HEAT_INJURY	exertional heat injury	(PERSPIRATION INCOHERENT_SPEECH ATAXIA TACHYPNEA CHILLS MUSCLE_CRAMP PALLOR HYPOTENSION TACHYARRHYTHMIA VASOVAGAL_REACTION VERTIGO NAUSEA VOMITING WEAKNESS HEADACHE)	(perspiration (sweating) incoherent speech ataxia tachypnea chills/rigors muscle cramp pallor hypotension tachyarrhythmia (tachycardia) vasovagal reaction (fainting) vertigo nausea vomiting weakness headache)
HEAT_STROKE	heat stroke	(DEEP_TENDON_REFLEX XEROSIS CONFUSION PARESTHESIA DYSPNEA TREMOR PALLOR HYPOTENSION TACHYARRHYTHMIA VASOVAGAL_REACTION VERTIGO NAUSEA VOMITING WEAKNESS HEADACHE)	(deep tendon reflex (DTR) xerosis (dry skin) confusion paresthesia dyspnea (shortness of breath {SOB}) tremor pallor hypotension tachyarrhythmia (tachycardia) vasovagal reaction (fainting) vertigo nausea vomiting weakness headache)
HYPERTHERMIA	hyperthermia (pyrexia)	(MUSCLE_RIGIDITY SEIZURE)	(muscle rigidity seizure; epileptic seizure)
HYPOTHERMIA	hypothermia	(HYPOTENSION)	(hypotension)
FEVER	fever	(RASH PETECHIAE EDEMA DYSURIA CERVICAL_MOTION_TENDERNESS ABDOMINAL_GUARDING REBOUND_TENDERNESS MURMUR COUGH PULMONARY_CRACKLES RHONCHI CERVICAL_LYMPHADENOPATHY CONGESTION ERYTHEMA PHARYNGITIS EARACHE INFLAMMATION CONFUSION SIGN/SYMPTOM)	(rash petechia edema (swelling) dysuria cervical motion tenderness (CMT) or chandelier sign abdominal guarding rebound tenderness murmur cough pulmonary crackles; rales rhonchi cervical lymphadenopathy congestion erythema pharyngitis earache; otalgia inflammation confusion sign/symptom)
TICK_FEVER	tick fever	(MALAISE NAUSEA HEADACHE)	(malaise nausea headache)
FEVER_OF_UNKNOWN_ORIGIN	fever of unknown origin (FUO)	(SIGN/SYMPTOM UVEITIS SPLENOMEGALY HEPATOMEGALY PETECHIAE OSLER^S_NODE JANEWAY_LESION RASH HEART_MURMUR LYMPHADENOPATHY)	(sign/symptom uveitis splenomegaly hepatomegaly petechia Osler's node Janeway spot or lesion (smoke ring) rash heart murmur lymphadenopathy)
DRUG_INDUCED_FEVER	drug-induced fever	(RASH URTICARIA HYPERSENSITIVITY MUCOSAL_ULCER)	(rash urticaria (hives) hypersensitivity mucosal ulcer)
ABLEPHARON_MACROSTOMIA_SYNDROME	ablepharon-macrostomia syndrome	(ANOMALY ABLEPHARON MICROBLEPHARON)	(anomaly ablepharon microblepharon)
TRANSIENT_FAMILIAL_NEONATAL_HYPERBILIRUBINEMIA	transient familial neonatal hyperbilirubinemia	(JAUNDICE HYPERBILIRUBINEMIA)	(jaundice (icterus) hyperbilirubinemia)
MUCOSITIS	mucositis	(PAIN DYSPHAGIA DYSGEUSIA ULCER INFLAMMATION SIGN/SYMPTOM)	(pain [odyn-] dysphagia (swallowing disorder) dysgeusia (taste disorder) ulcer inflammation sign/symptom)
ACROPUSTULOSIS_OF_INFANCY	acropustulosis of Infancy	(PRURITIS)	(pruritis (itching))
LICHEN_STRIATUS	lichen striatus	(HYPOPIGMENTATION HYPERPIGMENTATION PRURITIS BLASCHKO^S_LINES)	(hypopigmentation hyperpigmentation pruritis (itching) Blaschko's lines)
ACNEIFORM_ERUPTION	acneiform eruption	(ELASTOSIS FOLLICULITIS CONTACT_DERMATITIS ACNE)	(elastosis folliculitis contact dermatitis (exogenous eczema) acne)
SCLEREDEMA	scleredema (Buschke disease)	(DYSARTHRIA ERYTHEMA INDURATION)	(dysarthria erythema induration)
ATROPHODERMA_OF_PASINI_&_PIERINI	atrophoderma of Pasini & Pierini	(DEPRESSION HYPERPIGMENTATION)	(depression hyperpigmentation)
ANETODERMA	anetoderma; dermatitis atrophicans maculosa	(INFLAMMATION)	(inflammation)
SUBCORNEAL_PUSTULAR_DERMATOSIS	subcorneal pustular dermatosis (Sneddon-Wilkinson disease)	(HYPERPIGMENTATION ERYTHEMA)	(hyperpigmentation erythema)
REACTIVE_PERFORATING_COLLAGENOSIS	reactive perforating collagenosis	(HYPERKERATOSIS)	(hyperkeratosis)
ERYTHROKERATODERMIA	erythrokeratodermia	(HYPERKERATOSIS PALMOPLANTAR_KERATODERMA ERYTHEMA)	(hyperkeratosis palmoplantar keratoderma erythema)
BUSCHKE_SCLEREDEMA	Buschke scleredema	(SCLERODERMA)	(scleroderma (systemic sclerosis))
UNEXPLAINED_DERMOPATHY	unexplained dermopathy (Morgellons)	(ARTHRALGIA FATIGUE CONFUSION MEMORY_IMPAIRMENT RASH STINGING_PAIN)	(arthralgia fatigue; lassitude; tiredness confusion memory impairment rash stinging pain)
BULLOUS_DIABETICORUM	bullous diabeticorum	(PAIN)	(pain [odyn-])
ACTINIC_KERATOSIS	actinic (solar) keratosis (AK)	(HEMORRHAGE HYPERKERATOSIS)	(hemorrhage (bleeding) hyperkeratosis)
SKIN_CALLUS	skin callus	(PARESTHESIA PRURITIS PAIN)	(paresthesia pruritis (itching) pain [odyn-])
KYRLE^S_DISEASE	Kyrle's disease (hyperkeratosis follicularis et parafollicularis in cutem penetrans)	(HYPERPIGMENTATION ATROPHY HYPERKERATOSIS PRURITIS)	(hyperpigmentation atrophy hyperkeratosis pruritis (itching))
PSEUDO_PORPHYRIA_CUTANEA_TARDA	pseudo-porphyria cutanea tarda (PCT)	(ATROPHY)	(atrophy)
POLYMORPHOUS_LIGHT_ERUPTION	polymorphous light eruption (PMLE)	(PRURITIS PARESTHESIA RASH)	(pruritis (itching) paresthesia rash)
INTERTRIGO	intertrigo	(INTERTRIGO ERYTHEMA)	(intertrigo erythema)
ECTHYMA	ecthyma	(LYMPHADENOPATHY ULCER HEMORRHAGE RASH)	(lymphadenopathy ulcer hemorrhage (bleeding) rash)
DERMATOHELIOSIS	dermatoheliosis (photoaging, skin aging)	(ELASTOSIS PURPURA)	(elastosis purpura)
MELASMA	melasma (chloasma, mask of pregnancy)	(TATTOO HYPERPIGMENTATION)	(tattoo hyperpigmentation)
BURN	burn	(EDEMA ERYTHEMA PAIN)	(edema (swelling) erythema pain [odyn-])
MILIARIA	miliaria (heat rash)	(RASH PARESTHESIA PRURITIS ERYTHEMA)	(rash paresthesia pruritis (itching) erythema)
RASH	rash	(FEVER PRURITIS ERYTHEMA RASH)	(fever pruritis (itching) erythema rash)
TOXIC_EPIDERMAL_NECROLYSIS	toxic (bullous) epidermal necrolysis (Lyell syndrome, TEN)	(CONJUNCTIVITIS NIKOLSKY^S_SIGN ERYTHEMA DIFFUSE_ERYTHEMA FEVER MALAISE ANOREXIA ARTHRALGIA)	(conjunctivitis Nikolsky's sign erythema diffuse erythema fever malaise anorexia arthralgia)
DIABETIC_SCLEREDEMA	diabetic scleredema	(EDEMA SCLEROSIS)	(edema (swelling) sclerosis)
SKIN_CORN	skin corn (clavus)	(PAIN)	(pain [odyn-])
THIRD_DEGREE_BURN	third degree burn	(PAIN)	(pain [odyn-])
SECOND_DEGREE_BURN	second degree burn	(EDEMA ERYTHEMA)	(edema (swelling) erythema)
FIRST_DEGREE_BURN	first degree burn	(EDEMA XEROSIS ERYTHEMA)	(edema (swelling) xerosis (dry skin) erythema)
PITYRIASIS_RUBRA_PILARIS	pityriasis rubra pilaris	(KERATODERMA ERYTHRODERMA)	(keratoderma erythoderma (exfoliative dermatitis))
PITYRIASIS_ALBA	pityriasis alba	(HYPOPIGMENTATION)	(hypopigmentation)
MILIARIA_RUBRA	miliaria rubra (prickly heat)	(PERSPIRATION PRURITIS STINGING_PAIN RASH ERYTHEMA)	(perspiration (sweating) pruritis (itching) stinging pain rash erythema)
MILIARIA_PROFUNDA	miliaria profunda	(FATIGUE HYPERTHERMIA PRURITIS STINGING_PAIN)	(fatigue; lassitude; tiredness hyperthermia (pyrexia) pruritis (itching) stinging pain)
DERMATOSIS_PAPULOSA_NIGRA	dermatosis papulosa nigra	(HYPERPIGMENTATION)	(hyperpigmentation)
CUTANEOUS_ULCER	cutaneous ulcer	(SEPSIS LIVEDO_RETICULARIS PALPABLE_PURPURA VASCULITIS PYODERMA_GANGRENOSUM ATROPHY EDEMA ULCER)	(sepsis livedo reticularis (mottled skin, cutis marmorata) palpable purpura vasculitis pyoderma gangrenosum atrophy edema (swelling) ulcer)
SKIN_NODULE	skin nodule	(ULCER ERYTHEMA)	(ulcer erythema)
MALAR_RASH	malar rash (butterfly rash)	(RASH)	(rash)
ARTERIAL_ULCER	arterial ulcer	(PAIN PALLOR ULCER ATROPHY)	(pain [odyn-] pallor ulcer atrophy)
LICHEN_NITIDUS	lichen nitidus	(PITTING_EDEMA PRURITIS)	(pitting edema pruritis (itching))
EXANTHEMATOUS_PUSTULOSIS	exanthematous pustulosis	(ERYTHEMA)	(erythema)
EXANTHEMATOUS_DRUG_ERUPTION	exanthematous drug eruption (morbilliform exanthem)	(MEASLES ERYTHEMA)	(measles (1st disease) erythema)
NECROBIOSIS_LIPOIDICA_DIABETICORUM	necrobiosis lipoidica diabeticorum [NLD]	(ULCER)	(ulcer)
MEDIASTINITIS	mediastinitis	(ODYNOPHAGIA DYSPHAGIA PAIN NECK_PAIN DYSPNEA FEVER)	(odynophagia (swallowing pain) dysphagia (swallowing disorder) pain [odyn-] neck pain dyspnea (shortness of breath {SOB}) fever)
ANISOMETROPIA	anisometropia	(ASTHENOPIA DIPLOPIA)	(asthenopia (eye strain) diplopia (double vision))
ASTHENOPIA	asthenopia (eye strain)	(NECK_PAIN BACK_PAIN HEADACHE PAIN DRY_EYES)	(neck pain back pain headache pain [odyn-] dry eyes; xerophthalmia; keratitis sicca)
TROCHLEITIS	trochleitis	(POINT_TENDERNESS PAIN EDEMA)	(point tenderness pain [odyn-] edema (swelling))
EYE_INJURY	eye injury/trauma	(CONJUNCTIVITIS FOREIGN_BODY_SENSATION PHOTOPHOBIA REFLEX BLEPHAROSPASM BLURRY_VISION EYE_PAIN RED_EYE SUBCONJUNCTIVAL_HEMORRHAGE HYPHEMA)	(conjunctivitis foreign body sensation photophobia reflex blepharospasm blurry vision (decreased visual acuity, DVA) eye pain (ocular pain, oribtal pain) red eye (pink eye, ocular erythema) subconjunctival hemorrhage hyphema (anterior chamber hemorrhage))
EYE_FOREIGN_BODY	eye foreign body	(HYPHEMA HEMORRHAGE EYE_PAIN OCULAR_FOREIGN_BODY_SENSATION)	(hyphema (anterior chamber hemorrhage) hemorrhage (bleeding) eye pain (ocular pain, oribtal pain) ocular foreign body sensation)
VISUAL_IMPAIRMENT	visual impairment	(MICROPSIA BLURRY_VISION SCOTOMA HEMIANOPIA MACULAR_DEGENERATION CATARACTS)	(micropsia blurry vision (decreased visual acuity, DVA) scotoma hemianopia macular degeneration cataracts)
INTERNUCLEAR_OPHTHALMOPLEGIA	internuclear ophthalmoplegia (INO)	(HORIZONTAL_GAZE)	(horizontal gaze)
EXTERNAL_OPHTHALMOPLEGIA	external ophthalmoplegia; progressive external ophthalmoplegia (PEO)	(ATAXIA CATARACTS DEPRESSION HEARING_LOSS MUSCLE_WEAKNESS BLEPHAROPTOSIS WEAKNESS)	(ataxia cataracts depression hearing loss (hearing impairment, hard of hearing, HOH) muscle weakness blepharoptosis; ptosis; lid lag weakness)
CATARACTS	cataracts	(BLURRY_VISION)	(blurry vision (decreased visual acuity, DVA))
METAMORPHOPSIA	metamorphopsia	(METAMORPHOPSIA)	(metamorphopsia)
ACUTE_NEUROLOGIC_ILLNESS_WITH_LIMB_PARALYSIS	acute neurologic illness with limb paralysis	(WEAKNESS)	(weakness)
ACUTE_NEUROLOGIC_ILLNESS_OF_UNKNOWN_ETIOLOGY	acute neurologic illness of unknown etiology	(WEAKNESS PARALYSIS)	(weakness paralysis)
AUTONOMIC_DYSFUNCTION	autonomic dysfunction (dysautonomia)	(ERECTILE_DYSFUNCTION URINARY_RETENTION SIALORRHEA CONSTIPATION DIPLOPIA PARESTHESIA HYPERTHERMIA PALLOR FLUSHING XEROSIS CYANOSIS DIAPHORESIS HYPERHIDROSIS DYSPNEA BRADYARRHYTHMIA TACHYARRHYTHMIA CARDIAC_ARRHYTHMIA HYPOTENSION HYPERTENSION ORTHOSTATIC_HYPOTENSION)	(erectile dysfunction (ED) urinary retention sialorrhea constipation diplopia (double vision) paresthesia hyperthermia (pyrexia) pallor flushing (vasomotor flushing) xerosis (dry skin) cyanosis diaphoresis hyperhidrosis dyspnea (shortness of breath {SOB}) bradyarrhythmia (bradycardia) tachyarrhythmia (tachycardia) cardiac arrhythmia hypotension hypertension (HTN, high blood pressure, HBP) orthostatic hypotension (postural tachycardia syndrome, POTS, Bradbury-Eggleston Syndrome))
CRANIAL_NERVE_III_PALSY	cranial nerve III palsy; oculomotor nerve palsy	(SIGN/SYMPTOM INTERNUCLEAR_OPHTHALMOPLEGIA PUPILLARY_REFLEX BLEPHAROPTOSIS PAIN PALSY)	(sign/symptom internuclear ophthalmoplegia (INO) pupillary reflex blepharoptosis; ptosis; lid lag pain [odyn-] palsy)
MELKERSSON_ROSENTHAL_SYNDROME	Melkersson-Rosenthal syndrome	(EDEMA BELL^S_PALSY)	(edema (swelling) Bell's palsy; cranial nerve 7 palsy; facial nerve palsy)
VOCAL_CORD_DYSFUNCTION	vocal cord dysfunction	(ANXIETY STRIDOR HOARSENESS NECK_PAIN DYSPNEA WHEEZE)	(anxiety stridor hoarseness neck pain dyspnea (shortness of breath {SOB}) wheeze)
AIRWAY_OBSTRUCTION	airway obstruction	(AIRWAY_OBSTRUCTION)	(airway obstruction)
CHEYNE_STOKES_RESPIRATION	Cheyne-Stokes respiration (includes: high altitude periodic breathing)	(DYSPNEA)	(dyspnea (shortness of breath {SOB}))
STOMATITIS	stomatitis	(SIGN/SYMPTOM LYMPHADENOPATHY ORAL_PAIN ULCER)	(sign/symptom lymphadenopathy oral pain ulcer)
APHTHOUS_STOMATITIS	aphthous stomatitis (canker sore)	(ULCER APHTHOUS_STOMATITIS)	(ulcer aphthous stomatitis (canker sore))
GINGIVOSTOMATITIS	gingivostomatitis	(HERPES_SIMPLEX_LABIALIS LYMPHADENOPATHY GINGIVITIS ULCER)	(Herpes simplex labialis (cold sore) lymphadenopathy gingivitis ulcer)
MUSCULOSKELETAL_DISEASE	musculoskeletal disease/disorder	(NECK_PAIN EDEMA INFLAMMATION PAIN PARESTHESIA)	(neck pain edema (swelling) inflammation pain [odyn-] paresthesia)
MORTON^S_FOOT	Morton's foot	(METATARSALGIA FOOT_PAIN)	(metatarsalgia (forefoot pain) foot pain)
RELAPSING_POLYCHONDRITIS	relapsing polychondritis	(PANNICULITIS LIVEDO_RETICULARIS PURPURA URTICARIA ANGIONEUROTIC_EDEMA ERYTHEMA_NODOSUM MYOCARDITIS PERICARDITIS POLYARTICULAR_ARTHRITIS SEIZURE ARTHRITIS COUGH HOARSENESS AIRWAY_OBSTRUCTION SIGN/SYMPTOM VASCULITIS PALSY OPTIC_NEURITIS CATARACTS EXOPHTHALMOS PERIORBITAL_EDEMA ULCER ANTERIOR_UVEITIS KERATITIS SCLERITIS EPISCLERITIS CONJUNCTIVITIS EPISTAXIS RHINORRHEA NASAL_CONGESTION HEARING_LOSS PAIN EDEMA CHONDRITIS)	(panniculitis livedo reticularis (mottled skin, cutis marmorata) purpura urticaria (hives) angioneurotic edema; angioedema; atrophedema; Bannister's disease; Milton's disease; Quincke's disease; periodic or Quincke's edema; giant urticaria or hives; urticaria gigans, gigantea, or tuberosa. erythema nodosum (septal panniculitis) myocarditis pericarditis polyarticular arthritis seizure; epileptic seizure arthritis cough hoarseness airway obstruction sign/symptom vasculitis palsy optic neuritis cataracts exophthalmos (proptosis) periorbital edema ulcer anterior uveitis (iritis, iridocyclitis) keratitis scleritis episcleritis conjunctivitis epistaxis (nose bleed) rhinorrhea nasal congestion hearing loss (hearing impairment, hard of hearing, HOH) pain [odyn-] edema (swelling) chondritis)
PLEURODYNIA	pleurodynia	(PAIN)	(pain [odyn-])
REMITTING_SERONEGATIVE_SYNOVITIS_WITH_PITTING_EDEMA	remitting seronegative synovitis with pitting edema	(SYNOVITIS INFLAMMATION)	(synovitis inflammation)
TENOSYNOVITIS	tenosynovitis	(EDEMA)	(edema (swelling))
SPINAL_INFECTION	spinal infection	(SENSORY_IMPAIRMENT MUSCLE_WEAKNESS FEVER BACK_PAIN)	(sensory impairment muscle weakness fever back pain)
NEONATAL_INFECTION	neonatal infection	(METABOLIC_ACIDOSIS HYPOGLYCEMIA HYPERGLYCEMIA OLIGURIA HEMORRHAGE THROMBOCYTOPENIA SHOCK ANOMALY JAUNDICE PULMONARY_HYPERTENSION PERSISTENT_FETAL_CIRCULATION APNEA DYSPNEA TACHYARRHYTHMIA BRADYARRHYTHMIA VOMITING GASTROPARESIS ABDOMINAL_DISTENTION SEIZURE)	(metabolic acidosis hypoglycemia hyperglycemia oliguria hemorrhage (bleeding) thrombocytopenia shock anomaly jaundice (icterus) pulmonary hypertension persistent fetal circulation; persistent pulmonary hypertension of the newborn apnea dyspnea (shortness of breath {SOB}) tachyarrhythmia (tachycardia) bradyarrhythmia (bradycardia) vomiting gastroparesis abdominal distention seizure; epileptic seizure)
INFECTIONS_IN_THE_ELDERLY	infections in the elderly	(FAILURE_TO_THRIVE)	(failure to thrive)
OPPORTUNISTIC_INFECTION	opportunistic infection	(HEADACHE FATIGUE WEIGHT_LOSS NAUSEA VOMITING ABDOMINAL_CRAMPING VISUAL_IMPAIRMENT FEVER CHRONIC_DIARRHEA CONFUSION FORGETFULNESS DYSPHAGIA ATAXIA SEIZURE COUGH DYSPNEA)	(headache fatigue; lassitude; tiredness weight loss nausea vomiting abdominal cramping visual impairment fever chronic diarrhea confusion forgetting dysphagia (swallowing disorder) ataxia seizure; epileptic seizure cough dyspnea (shortness of breath {SOB}))
INTRAVASCULAR_CATHETER_RELATED_INFECTION	intravascular catheter-related infection	(CELLULITIS FEVER)	(cellulitis fever)
RETROPERITONEAL_ABSCESS	retroperitoneal abscess	(PAIN FEVER)	(pain [odyn-] fever)
SOUTHERN_TICK_ASSOCIATED_RASH_ILLNESS	southern tick-associated rash illness	(MYALGIA HEADACHE FEVER ERYTHEMA_CHRONICUM_MIGRICANS)	(myalgia (muscle pain) headache fever erythema chronicum migricans (erythema migrans))
TICK_BORNE_RELAPSING_FEVER	tick-bourne relapsing fever	(RECURRENT_FEVER FEVER)	(recurrent fever fever)
OMPHALITIS	omphalitis	(ANOMALY)	(anomaly)
ROSS_RIVER_FEVER	Ross river fever (epidemic polyarthritis)	(FATIGUE PURPURA RASH MORNING_STIFFNESS PERSPIRATION MYALGIA ARTHRALGIA POLYARTICULAR_ARTHRITIS HEADACHE FEVER)	(fatigue; lassitude; tiredness purpura rash morning stiffness perspiration (sweating) myalgia (muscle pain) arthralgia polyarticular arthritis headache fever)
ANGIOFOLLICULAR_LYMPH_NODE_HYPERPLASIA	angiofollicular lymph node hyperplasia; Castleman lymphadenopathy	(HEPATOSPLENOMEGALY LYMPHADENOPATHY)	(hepatosplenomegaly lymphadenopathy)
LYMPHADENOPATHY	lymphadenopathy	(SPLENOMEGALY HEPATOMEGALY MYALGIA ARTHRALGIA FATIGUE PRURITIS NIGHT_SWEATS WEIGHT_LOSS FEVER COUGH SIGN/SYMPTOM INFLAMMATION)	(splenomegaly hepatomegaly myalgia (muscle pain) arthralgia fatigue; lassitude; tiredness pruritis (itching) night sweats weight loss fever cough sign/symptom inflammation)
BERNARD_SOULIER_DISEASE	Bernard-Soulier disease (giant platelet syndrome, benign Mediterranean macrothrombocytopenia)	(HEMORRHAGE)	(hemorrhage (bleeding))
GLANZMANN^S_THROMBASTHENIA	Glanzmann's thrombasthenia	(ECCHYMOSIS PETECHIAE PURPURA EPISTAXIS HEMORRHAGE)	(ecchymosis petechia purpura epistaxis (nose bleed) hemorrhage (bleeding))
BLOOD_TRANSFUSION_REACTION	blood transfusion reaction	(SHOCK DISSEMINATED_INTRAVASCULAR_COAGULATION HYPERKALEMIA AIR_EMBOLISM CARDIAC_ARRHYTHMIA PULMONARY_EDEMA PERIPHERAL_EDEMA HYPERVOLEMIA ARTHRALGIA CARDIOGENIC_PULMONARY_EDEMA COUGH PURPURA PETECHIAE THROMBOCYTOPENIA EDEMA MYALGIA ANXIETY HEADACHE CHILLS DYSPNEA ANAPHYLAXIS RASH WHEEZE URTICARIA FLANK_PAIN ABDOMINAL_PAIN CHEST_PAIN PAIN HYPOTENSION TACHYARRHYTHMIA FEVER HEMOLYSIS)	(shock disseminated intravascular coagulation (DIC) hyperkalemia air embolism cardiac arrhythmia pulmonary edema (pulmonary congestion, PE) peripheral edema hypervolemia (extracellular volume overload) arthralgia cardiogenic pulmonary edema (CPE) cough purpura petechia thrombocytopenia edema (swelling) myalgia (muscle pain) anxiety headache chills/rigors dyspnea (shortness of breath {SOB}) anaphylaxis rash wheeze urticaria (hives) flank pain abdominal pain chest pain pain [odyn-] hypotension tachyarrhythmia (tachycardia) fever hemolysis)
COAGULATION_DISORDER	coagulation disorder	(HEMATOMA HEMARTHROSIS HEMORRHAGE)	(hematoma hemarthrosis hemorrhage (bleeding))
